a,b,n,rad_a,rad_b,rad_n,rad_product
1,3,4,1,3,2,6
1,7,8,1,7,2,14
1,8,9,1,2,3,6
4,5,9,2,5,3,30
1,11,12,1,11,6,66
4,11,15,2,11,15,330
7,8,15,7,2,15,210
1,15,16,1,15,2,30
7,9,16,7,3,2,42
1,17,18,1,17,6,102
1,19,20,1,19,10,190
9,11,20,3,11,10,330
4,17,21,2,17,21,714
5,16,21,5,2,21,210
8,13,21,2,13,21,546
1,23,24,1,23,6,138
1,24,25,1,6,5,30
4,21,25,2,21,5,210
7,18,25,7,6,5,210
8,17,25,2,17,5,170
9,16,25,3,2,5,30
12,13,25,6,13,5,390
1,26,27,1,26,3,78
4,23,27,2,23,3,138
7,20,27,7,10,3,210
8,19,27,2,19,3,114
11,16,27,11,2,3,66
1,27,28,1,3,14,42
3,25,28,3,5,14,210
9,19,28,3,19,14,798
1,31,32,1,31,2,62
5,27,32,5,3,2,30
7,25,32,7,5,2,70
9,23,32,3,23,2,138
4,29,33,2,29,33,1914
5,28,33,5,14,33,2310
8,25,33,2,5,33,330
13,20,33,13,10,33,4290
16,17,33,2,17,33,1122
3,32,35,3,2,35,210
4,31,35,2,31,35,2170
8,27,35,2,3,35,210
9,26,35,3,26,35,2730
11,24,35,11,6,35,2310
12,23,35,6,23,35,4830
16,19,35,2,19,35,1330
17,18,35,17,6,35,3570
1,35,36,1,35,6,210
11,25,36,11,5,6,330
4,35,39,2,35,39,2730
7,32,39,7,2,39,546
8,31,39,2,31,39,2418
11,28,39,11,14,39,6006
14,25,39,14,5,39,2730
16,23,39,2,23,39,1794
19,20,39,19,10,39,7410
1,39,40,1,39,10,390
9,31,40,3,31,10,930
13,27,40,13,3,10,390
17,25,42,17,5,42,3570
1,43,44,1,43,22,946
9,35,44,3,35,22,2310
17,27,44,17,3,22,1122
19,25,44,19,5,22,2090
1,44,45,1,22,15,330
4,41,45,2,41,15,1230
8,37,45,2,37,15,1110
13,32,45,13,2,15,390
16,29,45,2,29,15,870
17,28,45,17,14,15,3570
1,47,48,1,47,6,282
23,25,48,23,5,6,690
1,48,49,1,6,7,42
4,45,49,2,15,7,210
5,44,49,5,22,7,770
8,41,49,2,41,7,574
9,40,49,3,10,7,210
12,37,49,6,37,7,1554
13,36,49,13,6,7,546
16,33,49,2,33,7,462
17,32,49,17,2,7,238
18,31,49,6,31,7,1302
20,29,49,10,29,7,2030
22,27,49,22,3,7,462
24,25,49,6,5,7,210
1,49,50,1,7,10,70
9,41,50,3,41,10,1230
23,27,50,23,3,10,690
4,47,51,2,47,51,4794
7,44,51,7,22,51,7854
8,43,51,2,43,51,4386
11,40,51,11,10,51,5610
16,35,51,2,35,51,3570
19,32,51,19,2,51,1938
20,31,51,10,31,51,15810
23,28,51,23,14,51,16422
25,26,51,5,26,51,6630
1,51,52,1,51,26,1326
7,45,52,7,15,26,2730
9,43,52,3,43,26,3354
25,27,52,5,3,26,390
1,53,54,1,53,6,318
5,49,54,5,7,6,210
25,29,54,5,29,6,870
4,51,55,2,51,55,5610
6,49,55,6,7,55,2310
7,48,55,7,6,55,2310
8,47,55,2,47,55,5170
9,46,55,3,46,55,7590
12,43,55,6,43,55,14190
16,39,55,2,39,55,4290
18,37,55,6,37,55,12210
19,36,55,19,6,55,6270
23,32,55,23,2,55,2530
24,31,55,6,31,55,10230
27,28,55,3,14,55,2310
1,55,56,1,55,14,770
9,47,56,3,47,14,1974
11,45,56,11,15,14,2310
25,31,56,5,31,14,2170
27,29,56,3,29,14,1218
4,53,57,2,53,57,6042
5,52,57,5,26,57,7410
7,50,57,7,10,57,3990
8,49,57,2,7,57,798
13,44,57,13,22,57,16302
16,41,57,2,41,57,4674
17,40,57,17,10,57,9690
20,37,57,10,37,57,21090
25,32,57,5,2,57,570
28,29,57,14,29,57,23142
1,59,60,1,59,30,1770
11,49,60,11,7,30,2310
1,62,63,1,62,21,1302
4,59,63,2,59,21,2478
8,55,63,2,55,21,2310
11,52,63,11,26,21,6006
13,50,63,13,10,21,2730
16,47,63,2,47,21,1974
19,44,63,19,22,21,8778
20,43,63,10,43,21,9030
23,40,63,23,10,21,4830
25,38,63,5,38,21,3990
31,32,63,31,2,21,1302
1,63,64,1,21,2,42
9,55,64,3,55,2,330
15,49,64,15,7,2,210
19,45,64,19,15,2,570
25,39,64,5,39,2,390
27,37,64,3,37,2,222
4,61,65,2,61,65,7930
8,57,65,2,57,65,7410
9,56,65,3,14,65,2730
11,54,65,11,6,65,4290
12,53,65,6,53,65,20670
16,49,65,2,7,65,910
17,48,65,17,6,65,6630
18,47,65,6,47,65,18330
21,44,65,21,22,65,30030
24,41,65,6,41,65,15990
27,38,65,3,38,65,7410
28,37,65,14,37,65,33670
29,36,65,29,6,65,11310
32,33,65,2,33,65,4290
17,49,66,17,7,66,7854
25,41,66,5,41,66,13530
1,67,68,1,67,34,2278
9,59,68,3,59,34,6018
19,49,68,19,7,34,4522
23,45,68,23,15,34,11730
25,43,68,5,43,34,7310
27,41,68,3,41,34,4182
4,65,69,2,65,69,8970
8,61,69,2,61,69,8418
13,56,69,13,14,69,12558
16,53,69,2,53,69,7314
17,52,69,17,26,69,30498
19,50,69,19,10,69,13110
20,49,69,10,7,69,4830
25,44,69,5,22,69,7590
28,41,69,14,41,69,39606
29,40,69,29,10,69,20010
32,37,69,2,37,69,5106
9,61,70,3,61,70,12810
27,43,70,3,43,70,9030
1,71,72,1,71,6,426
23,49,72,23,7,6,966
25,47,72,5,47,6,1410
1,74,75,1,74,15,1110
4,71,75,2,71,15,2130
7,68,75,7,34,15,3570
8,67,75,2,67,15,2010
11,64,75,11,2,15,330
16,59,75,2,59,15,1770
19,56,75,19,14,15,3990
23,52,75,23,26,15,8970
26,49,75,26,7,15,2730
28,47,75,14,47,15,9870
31,44,75,31,22,15,10230
32,43,75,2,43,15,1290
1,75,76,1,15,38,570
9,67,76,3,67,38,7638
13,63,76,13,21,38,10374
25,51,76,5,51,38,9690
27,49,76,3,7,38,798
31,45,76,31,15,38,17670
4,73,77,2,73,77,11242
8,69,77,2,69,77,10626
9,68,77,3,34,77,7854
12,65,77,6,65,77,30030
13,64,77,13,2,77,2002
16,61,77,2,61,77,9394
17,60,77,17,30,77,39270
18,59,77,6,59,77,27258
20,57,77,10,57,77,43890
23,54,77,23,6,77,10626
24,53,77,6,53,77,24486
25,52,77,5,26,77,10010
27,50,77,3,10,77,2310
29,48,77,29,6,77,13398
32,45,77,2,15,77,2310
36,41,77,6,41,77,18942
37,40,77,37,10,77,28490
25,53,78,5,53,78,20670
29,49,78,29,7,78,15834
1,79,80,1,79,10,790
9,71,80,3,71,10,2130
17,63,80,17,21,10,3570
27,53,80,3,53,10,1590
31,49,80,31,7,10,2170
1,80,81,1,10,3,30
4,77,81,2,77,3,462
8,73,81,2,73,3,438
13,68,81,13,34,3,1326
16,65,81,2,65,3,390
17,64,81,17,2,3,102
20,61,81,10,61,3,1830
25,56,81,5,14,3,210
28,53,81,14,53,3,2226
29,52,81,29,26,3,2262
31,50,81,31,10,3,930
32,49,81,2,7,3,42
37,44,81,37,22,3,2442
40,41,81,10,41,3,1230
1,83,84,1,83,42,3486
25,59,84,5,59,42,12390
4,81,85,2,3,85,510
8,77,85,2,77,85,13090
9,76,85,3,38,85,9690
12,73,85,6,73,85,37230
13,72,85,13,6,85,6630
16,69,85,2,69,85,11730
18,67,85,6,67,85,34170
21,64,85,21,2,85,3570
22,63,85,22,21,85,39270
24,61,85,6,61,85,31110
27,58,85,3,58,85,14790
28,57,85,14,57,85,67830
29,56,85,29,14,85,34510
31,54,85,31,6,85,15810
32,53,85,2,53,85,9010
33,52,85,33,26,85,72930
36,49,85,6,7,85,3570
37,48,85,37,6,85,18870
41,44,85,41,22,85,76670
4,83,87,2,83,87,14442
8,79,87,2,79,87,13746
11,76,87,11,38,87,36366
16,71,87,2,71,87,12354
19,68,87,19,34,87,56202
20,67,87,10,67,87,58290
23,64,87,23,2,87,4002
25,62,87,5,62,87,26970
28,59,87,14,59,87,71862
31,56,87,31,14,87,37758
32,55,87,2,55,87,9570
35,52,87,35,26,87,79170
37,50,87,37,10,87,32190
38,49,87,38,7,87,23142
40,47,87,10,47,87,40890
43,44,87,43,22,87,82302
1,87,88,1,87,22,1914
9,79,88,3,79,22,5214
13,75,88,13,15,22,4290
25,63,88,5,21,22,2310
27,61,88,3,61,22,4026
39,49,88,39,7,22,6006
43,45,88,43,15,22,14190
1,89,90,1,89,30,2670
41,49,90,41,7,30,8610
4,87,91,2,87,91,15834
8,83,91,2,83,91,15106
9,82,91,3,82,91,22386
10,81,91,10,3,91,2730
11,80,91,11,10,91,10010
12,79,91,6,79,91,43134
15,76,91,15,38,91,51870
16,75,91,2,15,91,2730
18,73,91,6,73,91,39858
19,72,91,19,6,91,10374
20,71,91,10,71,91,64610
23,68,91,23,34,91,71162
24,67,91,6,67,91,36582
25,66,91,5,66,91,30030
27,64,91,3,2,91,546
31,60,91,31,30,91,84630
32,59,91,2,59,91,10738
36,55,91,6,55,91,30030
37,54,91,37,6,91,20202
40,51,91,10,51,91,46410
41,50,91,41,10,91,37310
43,48,91,43,6,91,23478
44,47,91,22,47,91,94094
45,46,91,15,46,91,62790
1,91,92,1,91,46,4186
9,83,92,3,83,46,11454
11,81,92,11,3,46,1518
17,75,92,17,15,46,11730
25,67,92,5,67,46,15410
27,65,92,3,65,46,8970
29,63,92,29,21,46,28014
43,49,92,43,7,46,13846
45,47,92,15,47,46,32430
4,89,93,2,89,93,16554
8,85,93,2,85,93,15810
13,80,93,13,10,93,12090
16,77,93,2,77,93,14322
17,76,93,17,38,93,60078
20,73,93,10,73,93,67890
25,68,93,5,34,93,15810
28,65,93,14,65,93,84630
29,64,93,29,2,93,5394
32,61,93,2,61,93,11346
37,56,93,37,14,93,48174
40,53,93,10,53,93,49290
41,52,93,41,26,93,99138
43,50,93,43,10,93,39990
44,49,93,22,7,93,14322
4,91,95,2,91,95,17290
8,87,95,2,87,95,16530
9,86,95,3,86,95,24510
11,84,95,11,42,95,43890
12,83,95,6,83,95,47310
14,81,95,14,3,95,3990
16,79,95,2,79,95,15010
18,77,95,6,77,95,43890
23,72,95,23,6,95,13110
24,71,95,6,71,95,40470
27,68,95,3,34,95,9690
28,67,95,14,67,95,89110
31,64,95,31,2,95,5890
32,63,95,2,21,95,3990
36,59,95,6,59,95,33630
39,56,95,39,14,95,51870
41,54,95,41,6,95,23370
43,52,95,43,26,95,106210
44,51,95,22,51,95,106590
46,49,95,46,7,95,30590
47,48,95,47,6,95,26790
1,95,96,1,95,6,570
25,71,96,5,71,6,2130
47,49,96,47,7,6,1974
1,97,98,1,97,14,1358
9,89,98,3,89,14,3738
17,81,98,17,3,14,714
23,75,98,23,15,14,4830
25,73,98,5,73,14,5110
27,71,98,3,71,14,2982
45,53,98,15,53,14,11130
1,98,99,1,14,33,462
4,95,99,2,95,33,6270
8,91,99,2,91,33,6006
16,83,99,2,83,33,5478
19,80,99,19,10,33,6270
20,79,99,10,79,33,26070
23,76,99,23,38,33,28842
25,74,99,5,74,33,12210
28,71,99,14,71,33,32802
31,68,99,31,34,33,34782
32,67,99,2,67,33,4422
35,64,99,35,2,33,2310
40,59,99,10,59,33,19470
43,56,99,43,14,33,19866
47,52,99,47,26,33,40326
49,50,99,7,10,33,2310
1,99,100,1,33,10,330
9,91,100,3,91,10,2730
19,81,100,19,3,10,570
27,73,100,3,73,10,2190
37,63,100,37,21,10,7770
49,51,100,7,51,10,3570
25,77,102,5,77,102,39270
49,53,102,7,53,102,37842
1,103,104,1,103,26,2678
9,95,104,3,95,26,7410
23,81,104,23,3,26,1794
25,79,104,5,79,26,10270
27,77,104,3,77,26,6006
29,75,104,29,15,26,11310
41,63,104,41,21,26,22386
45,59,104,15,59,26,23010
49,55,104,7,55,26,10010
4,101,105,2,101,105,21210
8,97,105,2,97,105,20370
13,92,105,13,46,105,62790
16,89,105,2,89,105,18690
17,88,105,17,22,105,39270
29,76,105,29,38,105,115710
32,73,105,2,73,105,15330
37,68,105,37,34,105,132090
41,64,105,41,2,105,8610
44,61,105,22,61,105,140910
52,53,105,26,53,105,144690
1,107,108,1,107,6,642
25,83,108,5,83,6,2490
49,59,108,7,59,6,2478
9,101,110,3,101,110,33330
27,83,110,3,83,110,27390
29,81,110,29,3,110,9570
47,63,110,47,21,110,108570
49,61,110,7,61,110,46970
4,107,111,2,107,111,23754
8,103,111,2,103,111,22866
11,100,111,11,10,111,12210
13,98,111,13,14,111,20202
16,95,111,2,95,111,21090
19,92,111,19,46,111,97014
20,91,111,10,91,111,101010
23,88,111,23,22,111,56166
25,86,111,5,86,111,47730
28,83,111,14,83,111,128982
31,80,111,31,10,111,34410
32,79,111,2,79,111,17538
35,76,111,35,38,111,147630
40,71,111,10,71,111,78810
43,68,111,43,34,111,162282
44,67,111,22,67,111,163614
47,64,111,47,2,111,10434
49,62,111,7,62,111,48174
50,61,111,10,61,111,67710
52,59,111,26,59,111,170274
55,56,111,55,14,111,85470
1,111,112,1,111,14,1554
9,103,112,3,103,14,4326
13,99,112,13,33,14,6006
25,87,112,5,87,14,6090
27,85,112,3,85,14,3570
31,81,112,31,3,14,1302
37,75,112,37,15,14,7770
45,67,112,15,67,14,14070
25,89,114,5,89,114,50730
49,65,114,7,65,114,51870
4,111,115,2,111,115,25530
8,107,115,2,107,115,24610
9,106,115,3,106,115,36570
11,104,115,11,26,115,32890
12,103,115,6,103,115,71070
16,99,115,2,33,115,7590
17,98,115,17,14,115,27370
18,97,115,6,97,115,66930
19,96,115,19,6,115,13110
24,91,115,6,91,115,62790
27,88,115,3,22,115,7590
28,87,115,14,87,115,140070
31,84,115,31,42,115,149730
32,83,115,2,83,115,19090
34,81,115,34,3,115,11730
36,79,115,6,79,115,54510
39,76,115,39,38,115,170430
43,72,115,43,6,115,29670
44,71,115,22,71,115,179630
47,68,115,47,34,115,183770
48,67,115,6,67,115,46230
49,66,115,7,66,115,53130
51,64,115,51,2,115,11730
52,63,115,26,21,115,62790
54,61,115,6,61,115,42090
56,59,115,14,59,115,94990
1,115,116,1,115,58,6670
9,107,116,3,107,58,18618
17,99,116,17,33,58,32538
25,91,116,5,91,58,26390
27,89,116,3,89,58,15486
35,81,116,35,3,58,6090
41,75,116,41,15,58,35670
45,71,116,15,71,58,61770
49,67,116,7,67,58,27202
53,63,116,53,21,58,64554
1,116,117,1,58,39,2262
4,113,117,2,113,39,8814
8,109,117,2,109,39,8502
16,101,117,2,101,39,7878
17,100,117,17,10,39,6630
19,98,117,19,14,39,10374
20,97,117,10,97,39,37830
25,92,117,5,46,39,8970
28,89,117,14,89,39,48594
29,88,117,29,22,39,24882
32,85,117,2,85,39,6630
37,80,117,37,10,39,14430
40,77,117,10,77,39,30030
41,76,117,41,38,39,60762
44,73,117,22,73,39,62634
49,68,117,7,34,39,9282
50,67,117,10,67,39,26130
53,64,117,53,2,39,4134
56,61,117,14,61,39,33306
4,115,119,2,115,119,27370
8,111,119,2,111,119,26418
9,110,119,3,110,119,39270
11,108,119,11,6,119,7854
12,107,119,6,107,119,76398
15,104,119,15,26,119,46410
16,103,119,2,103,119,24514
18,101,119,6,101,119,72114
19,100,119,19,10,119,22610
20,99,119,10,33,119,39270
23,96,119,23,6,119,16422
24,95,119,6,95,119,67830
25,94,119,5,94,119,55930
27,92,119,3,46,119,16422
29,90,119,29,30,119,103530
31,88,119,31,22,119,81158
32,87,119,2,87,119,20706
36,83,119,6,83,119,59262
38,81,119,38,3,119,13566
39,80,119,39,10,119,46410
40,79,119,10,79,119,94010
43,76,119,43,38,119,194446
44,75,119,22,15,119,39270
45,74,119,15,74,119,132090
47,72,119,47,6,119,33558
48,71,119,6,71,119,50694
50,69,119,10,69,119,82110
52,67,119,26,67,119,207298
54,65,119,6,65,119,46410
55,64,119,55,2,119,13090
59,60,119,59,30,119,210630
1,119,120,1,119,30,3570
49,71,120,7,71,30,14910
1,120,121,1,30,11,330
4,117,121,2,39,11,858
8,113,121,2,113,11,2486
9,112,121,3,14,11,462
12,109,121,6,109,11,7194
13,108,121,13,6,11,858
16,105,121,2,105,11,2310
17,104,121,17,26,11,4862
18,103,121,6,103,11,6798
20,101,121,10,101,11,11110
21,100,121,21,10,11,2310
23,98,121,23,14,11,3542
24,97,121,6,97,11,6402
25,96,121,5,6,11,330
27,94,121,3,94,11,3102
28,93,121,14,93,11,14322
29,92,121,29,46,11,14674
31,90,121,31,30,11,10230
32,89,121,2,89,11,1958
36,85,121,6,85,11,5610
37,84,121,37,42,11,17094
40,81,121,10,3,11,330
41,80,121,41,10,11,4510
45,76,121,15,38,11,6270
46,75,121,46,15,11,7590
48,73,121,6,73,11,4818
49,72,121,7,6,11,462
50,71,121,10,71,11,7810
52,69,121,26,69,11,19734
53,68,121,53,34,11,19822
54,67,121,6,67,11,4422
56,65,121,14,65,11,10010
57,64,121,57,2,11,1254
58,63,121,58,21,11,13398
60,61,121,30,61,11,20130
4,119,123,2,119,123,29274
8,115,123,2,115,123,28290
11,112,123,11,14,123,18942
16,107,123,2,107,123,26322
19,104,123,19,26,123,60762
20,103,123,10,103,123,126690
23,100,123,23,10,123,28290
25,98,123,5,14,123,8610
28,95,123,14,95,123,163590
31,92,123,31,46,123,175398
32,91,123,2,91,123,22386
35,88,123,35,22,123,94710
40,83,123,10,83,123,102090
43,80,123,43,10,123,52890
44,79,123,22,79,123,213774
47,76,123,47,38,123,219678
49,74,123,7,74,123,63714
50,73,123,10,73,123,89790
52,71,123,26,71,123,227058
55,68,123,55,34,123,230010
56,67,123,14,67,123,115374
59,64,123,59,2,123,14514
1,123,124,1,123,62,7626
9,115,124,3,115,62,21390
25,99,124,5,33,62,10230
27,97,124,3,97,62,18042
43,81,124,43,3,62,7998
45,79,124,15,79,62,73470
49,75,124,7,15,62,6510
61,63,124,61,21,62,79422
1,124,125,1,62,5,310
4,121,125,2,11,5,110
8,117,125,2,39,5,390
9,116,125,3,58,5,870
12,113,125,6,113,5,3390
13,112,125,13,14,5,910
16,109,125,2,109,5,1090
17,108,125,17,6,5,510
18,107,125,6,107,5,3210
21,104,125,21,26,5,2730
24,101,125,6,101,5,3030
26,99,125,26,33,5,4290
27,98,125,3,14,5,210
28,97,125,14,97,5,6790
29,96,125,29,6,5,870
32,93,125,2,93,5,930
33,92,125,33,46,5,7590
36,89,125,6,89,5,2670
37,88,125,37,22,5,4070
41,84,125,41,42,5,8610
44,81,125,22,3,5,330
48,77,125,6,77,5,2310
49,76,125,7,38,5,1330
52,73,125,26,73,5,9490
53,72,125,53,6,5,1590
54,71,125,6,71,5,2130
56,69,125,14,69,5,4830
57,68,125,57,34,5,9690
61,64,125,61,2,5,610
62,63,125,62,21,5,6510
1,125,126,1,5,42,210
25,101,126,5,101,42,21210
1,127,128,1,127,2,254
9,119,128,3,119,2,714
11,117,128,11,39,2,858
25,103,128,5,103,2,1030
27,101,128,3,101,2,606
29,99,128,29,33,2,1914
45,83,128,15,83,2,2490
47,81,128,47,3,2,282
49,79,128,7,79,2,1106
53,75,128,53,15,2,1590
63,65,128,21,65,2,2730
4,125,129,2,5,129,1290
8,121,129,2,11,129,2838
13,116,129,13,58,129,97266
16,113,129,2,113,129,29154
17,112,129,17,14,129,30702
20,109,129,10,109,129,140610
25,104,129,5,26,129,16770
28,101,129,14,101,129,182406
29,100,129,29,10,129,37410
31,98,129,31,14,129,55986
32,97,129,2,97,129,25026
37,92,129,37,46,129,219558
40,89,129,10,89,129,114810
41,88,129,41,22,129,116358
44,85,129,22,85,129,241230
49,80,129,7,10,129,9030
50,79,129,10,79,129,101910
52,77,129,26,77,129,258258
53,76,129,53,38,129,259806
56,73,129,14,73,129,131838
61,68,129,61,34,129,267546
64,65,129,2,65,129,16770
9,121,130,3,11,130,4290
27,103,130,3,103,130,40170
31,99,130,31,33,130,132990
49,81,130,7,3,130,2730
63,67,130,21,67,130,182910
1,131,132,1,131,66,8646
25,107,132,5,107,66,35310
49,83,132,7,83,66,38346
4,129,133,2,129,133,34314
8,125,133,2,5,133,1330
9,124,133,3,62,133,24738
12,121,133,6,11,133,8778
13,120,133,13,30,133,51870
16,117,133,2,39,133,10374
17,116,133,17,58,133,131138
18,115,133,6,115,133,91770
20,113,133,10,113,133,150290
24,109,133,6,109,133,86982
25,108,133,5,6,133,3990
27,106,133,3,106,133,42294
29,104,133,29,26,133,100282
32,101,133,2,101,133,26866
33,100,133,33,10,133,43890
34,99,133,34,33,133,149226
36,97,133,6,97,133,77406
37,96,133,37,6,133,29526
40,93,133,10,93,133,123690
41,92,133,41,46,133,250838
43,90,133,43,30,133,171570
44,89,133,22,89,133,260414
45,88,133,15,22,133,43890
48,85,133,6,85,133,67830
50,83,133,10,83,133,110390
52,81,133,26,3,133,10374
53,80,133,53,10,133,70490
54,79,133,6,79,133,63042
58,75,133,58,15,133,115710
60,73,133,30,73,133,291270
61,72,133,61,6,133,48678
64,69,133,2,69,133,18354
65,68,133,65,34,133,293930
1,134,135,1,134,15,2010
4,131,135,2,131,15,3930
8,127,135,2,127,15,3810
14,121,135,14,11,15,2310
16,119,135,2,119,15,3570
19,116,135,19,58,15,16530
23,112,135,23,14,15,4830
28,107,135,14,107,15,22470
31,104,135,31,26,15,12090
32,103,135,2,103,15,3090
37,98,135,37,14,15,7770
43,92,135,43,46,15,29670
44,91,135,22,91,15,30030
47,88,135,47,22,15,15510
49,86,135,7,86,15,9030
52,83,135,26,83,15,32370
56,79,135,14,79,15,16590
59,76,135,59,38,15,33630
64,71,135,2,71,15,2130
67,68,135,67,34,15,34170
1,135,136,1,15,34,510
9,127,136,3,127,34,12954
15,121,136,15,11,34,5610
19,117,136,19,39,34,25194
25,111,136,5,111,34,18870
27,109,136,3,109,34,11118
37,99,136,37,33,34,41514
45,91,136,15,91,34,46410
49,87,136,7,87,34,20706
55,81,136,55,3,34,5610
61,75,136,61,15,34,31110
63,73,136,21,73,34,52122
13,125,138,13,5,138,8970
17,121,138,17,11,138,25806
25,113,138,5,113,138,77970
49,89,138,7,89,138,85974
1,139,140,1,139,70,9730
9,131,140,3,131,70,27510
19,121,140,19,11,70,14630
23,117,140,23,39,70,62790
27,113,140,3,113,70,23730
41,99,140,41,33,70,94710
59,81,140,59,3,70,12390
4,137,141,2,137,141,38634
8,133,141,2,133,141,37506
13,128,141,13,2,141,3666
16,125,141,2,5,141,1410
17,124,141,17,62,141,148614
20,121,141,10,11,141,15510
25,116,141,5,58,141,40890
28,113,141,14,113,141,223062
29,112,141,29,14,141,57246
32,109,141,2,109,141,30738
37,104,141,37,26,141,135642
40,101,141,10,101,141,142410
41,100,141,41,10,141,57810
43,98,141,43,14,141,84882
44,97,141,22,97,141,300894
49,92,141,7,46,141,45402
50,91,141,10,91,141,128310
52,89,141,26,89,141,326274
53,88,141,53,22,141,164406
56,85,141,14,85,141,167790
61,80,141,61,10,141,86010
64,77,141,2,77,141,21714
65,76,141,65,38,141,348270
68,73,141,34,73,141,349962
4,139,143,2,139,143,39754
8,135,143,2,15,143,4290
9,134,143,3,134,143,57486
12,131,143,6,131,143,112398
15,128,143,15,2,143,4290
16,127,143,2,127,143,36322
17,126,143,17,42,143,102102
18,125,143,6,5,143,4290
19,124,143,19,62,143,168454
20,123,143,10,123,143,175890
23,120,143,23,30,143,98670
24,119,143,6,119,143,102102
25,118,143,5,118,143,84370
27,116,143,3,58,143,24882
28,115,143,14,115,143,230230
31,112,143,31,14,143,62062
32,111,143,2,111,143,31746
35,108,143,35,6,143,30030
36,107,143,6,107,143,91806
40,103,143,10,103,143,147290
43,100,143,43,10,143,61490
45,98,143,15,14,143,30030
47,96,143,47,6,143,40326
48,95,143,6,95,143,81510
49,94,143,7,94,143,94094
50,93,143,10,93,143,132990
51,92,143,51,46,143,335478
53,90,143,53,30,143,227370
54,89,143,6,89,143,76362
56,87,143,14,87,143,174174
59,84,143,59,42,143,354354
60,83,143,30,83,143,356070
62,81,143,62,3,143,26598
63,80,143,21,10,143,30030
64,79,143,2,79,143,22594
67,76,143,67,38,143,364078
68,75,143,34,15,143,72930
71,72,143,71,6,143,60918
1,143,144,1,143,6,858
19,125,144,19,5,6,570
23,121,144,23,11,6,1518
25,119,144,5,119,6,3570
49,95,144,7,95,6,3990
4,141,145,2,141,145,40890
8,137,145,2,137,145,39730
9,136,145,3,34,145,14790
12,133,145,6,133,145,115710
13,132,145,13,66,145,124410
16,129,145,2,129,145,37410
17,128,145,17,2,145,4930
18,127,145,6,127,145,110490
19,126,145,19,42,145,115710
21,124,145,21,62,145,188790
24,121,145,6,11,145,9570
27,118,145,3,118,145,51330
28,117,145,14,39,145,79170
32,113,145,2,113,145,32770
33,112,145,33,14,145,66990
36,109,145,6,109,145,94830
37,108,145,37,6,145,32190
41,104,145,41,26,145,154570
44,101,145,22,101,145,322190
46,99,145,46,33,145,220110
47,98,145,47,14,145,95410
48,97,145,6,97,145,84390
49,96,145,7,6,145,6090
52,93,145,26,93,145,350610
53,92,145,53,46,145,353510
54,91,145,6,91,145,79170
56,89,145,14,89,145,180670
57,88,145,57,22,145,181830
61,84,145,61,42,145,371490
63,82,145,21,82,145,249690
64,81,145,2,3,145,870
68,77,145,34,77,145,379610
69,76,145,69,38,145,380190
72,73,145,6,73,145,63510
1,146,147,1,146,21,3066
4,143,147,2,143,21,6006
8,139,147,2,139,21,5838
16,131,147,2,131,21,5502
19,128,147,19,2,21,798
20,127,147,10,127,21,26670
22,125,147,22,5,21,2310
23,124,147,23,62,21,29946
25,122,147,5,122,21,12810
26,121,147,26,11,21,6006
31,116,147,31,58,21,37758
32,115,147,2,115,21,4830
40,107,147,10,107,21,22470
43,104,147,43,26,21,23478
44,103,147,22,103,21,47586
47,100,147,47,10,21,9870
50,97,147,10,97,21,20370
52,95,147,26,95,21,51870
55,92,147,55,46,21,53130
59,88,147,59,22,21,27258
64,83,147,2,83,21,3486
67,80,147,67,10,21,14070
68,79,147,34,79,21,56406
71,76,147,71,38,21,56658
1,147,148,1,21,74,1554
9,139,148,3,139,74,30858
13,135,148,13,15,74,14430
23,125,148,23,5,74,8510
25,123,148,5,123,74,45510
27,121,148,3,11,74,2442
31,117,148,31,39,74,89466
45,103,148,15,103,74,114330
49,99,148,7,33,74,17094
63,85,148,21,85,74,132090
67,81,148,67,3,74,14874
73,75,148,73,15,74,81030
1,149,150,1,149,30,4470
29,121,150,29,11,30,9570
49,101,150,7,101,30,21210
1,151,152,1,151,38,5738
9,143,152,3,143,38,16302
17,135,152,17,15,38,9690
25,127,152,5,127,38,24130
27,125,152,3,5,38,570
31,121,152,31,11,38,12958
35,117,152,35,39,38,51870
45,107,152,15,107,38,60990
49,103,152,7,103,38,27398
53,99,152,53,33,38,66462
63,89,152,21,89,38,71022
71,81,152,71,3,38,8094
75,77,152,15,77,38,43890
1,152,153,1,38,51,1938
4,149,153,2,149,51,15198
8,145,153,2,145,51,14790
13,140,153,13,70,51,46410
16,137,153,2,137,51,13974
20,133,153,10,133,51,67830
25,128,153,5,2,51,510
28,125,153,14,5,51,3570
29,124,153,29,62,51,91698
32,121,153,2,11,51,1122
37,116,153,37,58,51,109446
40,113,153,10,113,51,57630
41,112,153,41,14,51,29274
44,109,153,22,109,51,122298
49,104,153,7,26,51,9282
50,103,153,10,103,51,52530
52,101,153,26,101,51,133926
53,100,153,53,10,51,27030
55,98,153,55,14,51,39270
56,97,153,14,97,51,69258
61,92,153,61,46,51,143106
64,89,153,2,89,51,9078
65,88,153,65,22,51,72930
73,80,153,73,10,51,37230
76,77,153,38,77,51,149226
9,145,154,3,145,154,66990
19,135,154,19,15,154,43890
25,129,154,5,129,154,99330
27,127,154,3,127,154,58674
29,125,154,29,5,154,22330
37,117,154,37,39,154,222222
45,109,154,15,109,154,251790
73,81,154,73,3,154,33726
