d,r,e1,a,b,n,s,e2,c,f,m,D,role_bound,correspondence_bound
28,1,28,1,49,50,1,28,100,243,343,343,49,5143
28,1,28,1,2400,2401,1,28,32,343,375,2401,32,77143
40,1,40,1,49,50,1,40,100,243,343,343,49,5143
460,1,460,567,15625,16192,1,460,625,45927,46552,46552,567,35806234
