U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
23,2376,306,0,0,2,2,1188,1127,153,1280
23,2376,1088,0,0,2,2,1188,529,1088,1617
23,2380,34,0,0,34,34,70,161,1,162
23,2380,35,0,0,35,35,68,391,1,392
23,2380,289,0,0,1,1,2380,3680,289,3969
23,2380,289,0,0,1,1,2380,9315,289,9604
23,2380,1000,0,0,10,10,238,529,200,729
23,2380,1666,0,0,34,34,70,207,49,256
23,2384,8,0,0,8,8,298,575,1,576
23,2384,2384,0,0,8,8,298,529,596,1125
23,2392,192,0,0,4,4,598,529,96,625
23,2394,192,0,0,3,3,798,1587,128,1715
23,2400,8,0,0,8,8,300,575,1,576
23,2400,15,0,0,15,15,160,575,1,576
23,2400,16,0,0,4,4,600,621,4,625
23,2400,100,0,0,4,4,600,1127,25,1152
23,2400,192,0,0,4,4,600,529,96,625
23,2400,1764,0,0,4,4,600,184,441,625
23,2400,2400,0,0,60,60,40,23,40,63
23,2412,3,0,0,3,3,804,3887,1,3888
23,2412,1521,0,0,3,3,804,1541,507,2048
23,2416,1,0,0,1,1,2416,3887,1,3888
23,2420,1408,0,0,11,11,220,115,128,243
23,2420,2420,0,0,11,11,220,23,220,243
23,2430,15,0,0,15,15,162,368,1,369
23,2436,2,0,0,2,2,1218,1449,1,1450
23,2436,343,0,0,7,7,348,2300,49,2349
23,2436,2436,0,0,7,7,348,529,696,1225
23,2440,671,0,0,1,1,2440,14283,1342,15625
23,2440,1221,0,0,1,1,2440,2875,1221,4096
23,2440,2440,0,0,61,61,40,23,40,63
23,2444,2444,0,0,13,13,188,437,188,625
23,2448,36,0,0,36,36,68,391,1,392
23,2448,81,0,0,1,1,2448,5750,81,5831
23,2448,1632,0,0,6,6,408,943,272,1215
23,2450,35,0,0,35,35,70,161,1,162
23,2450,1715,0,0,35,35,70,207,49,256
23,2460,160,0,0,10,10,246,713,16,729
23,2460,256,0,0,2,2,1230,5819,256,6075
23,2460,486,0,0,2,2,1230,1472,243,1715
23,2460,2050,0,0,2,2,1230,2944,1025,3969
23,2464,256,0,0,16,16,154,621,16,637
23,2464,1024,0,0,16,16,154,299,64,363
23,2470,494,0,0,1,1,2470,1587,988,2575
23,2470,975,0,0,13,13,190,437,75,512
23,2470,1000,0,0,1,1,2470,10051,2000,12051
23,2470,1300,0,0,13,13,190,529,200,729
23,2480,2480,0,0,20,20,124,23,124,147
23,2480,2480,0,0,62,62,40,23,40,63
23,2484,864,0,0,18,18,138,529,96,625
23,2488,4,0,0,4,4,622,3887,1,3888
23,2490,8,0,0,1,1,2490,11109,16,11125
23,2490,581,0,0,1,1,2490,2875,581,3456
23,2490,1225,0,0,1,1,2490,12167,3675,15842
23,2490,1296,0,0,1,1,2490,14329,1296,15625
23,2496,12,0,0,12,12,208,299,1,300
23,2496,12,0,0,12,12,208,575,1,576
23,2496,588,0,0,12,12,208,207,49,256
23,2496,588,0,0,12,12,208,276,49,325
23,2496,588,0,0,12,12,208,575,49,624
23,2496,2496,0,0,12,12,208,529,416,945
23,2500,2500,0,0,10,10,250,529,500,1029
23,2508,24,0,0,6,6,418,437,4,441
23,2508,24,0,0,6,6,418,621,4,625
23,2508,450,0,0,6,6,418,437,75,512
23,2508,576,0,0,1,1,2508,2185,576,2761
23,2508,726,0,0,6,6,418,1104,121,1225
23,2508,726,0,0,6,6,418,2254,121,2375
23,2508,1680,0,0,6,6,418,529,560,1089
23,2508,2025,0,0,1,1,2508,736,2025,2761
23,2508,2508,0,0,6,6,418,207,418,625
23,2514,2514,0,0,3,3,838,529,1676,2205
23,2516,37,0,0,37,37,68,391,1,392
23,2516,128,0,0,2,2,1258,1587,128,1715
23,2518,2518,0,0,1,1,2518,1127,2518,3645
23,2520,36,0,0,9,9,280,621,4,625
23,2520,36,0,0,36,36,70,161,1,162
23,2520,128,0,0,2,2,1260,1587,128,1715
23,2520,135,0,0,15,15,168,391,9,400
23,2520,588,0,0,12,12,210,207,49,256
23,2520,600,0,0,6,6,420,529,200,729
23,2520,910,0,0,14,14,180,621,65,686
