d,r,e,a,b,n
4,1,4,1,8,9
10,1,10,1,15,16
10,1,10,1,24,25
10,1,10,9,16,25
10,1,10,2,25,27
10,1,10,5,27,32
10,1,10,1,80,81
10,1,10,3,125,128
12,1,12,7,9,16
12,1,12,1,27,28
12,1,12,1,48,49
12,1,12,1,63,64
12,1,12,32,49,81
18,1,18,1,24,25
18,1,18,9,16,25
18,1,18,2,25,27
18,1,18,5,27,32
18,1,18,1,80,81
18,1,18,3,125,128
20,1,20,4,121,125
20,2,10,1,24,25
20,2,10,9,16,25
20,2,10,2,25,27
20,2,10,5,27,32
20,2,10,1,80,81
20,2,10,3,125,128
22,1,22,11,16,27
22,1,22,1,32,33
22,1,22,1,242,243
24,1,24,13,243,256
24,2,12,1,27,28
24,2,12,1,48,49
24,2,12,1,63,64
24,2,12,32,49,81
26,1,26,169,343,512
28,1,28,5,27,32
28,1,28,7,25,32
28,1,28,3,32,35
28,1,28,8,27,35
28,1,28,1,35,36
28,1,28,1,48,49
28,1,28,4,45,49
28,1,28,9,40,49
28,1,28,24,25,49
28,1,28,1,49,50
28,1,28,5,49,54
28,1,28,1,63,64
28,1,28,15,49,64
28,1,28,1,80,81
28,1,28,25,56,81
28,1,28,32,49,81
28,1,28,27,98,125
28,1,28,1,125,126
28,1,28,3,125,128
28,1,28,7,128,135
28,1,28,64,125,189
28,1,28,1,224,225
28,1,28,2,243,245
28,1,28,7,243,250
28,1,28,81,175,256
28,1,28,100,243,343
28,1,28,32,343,375
28,1,28,49,576,625
28,1,28,5,1024,1029
28,1,28,1,2400,2401
30,1,30,1,80,81
30,1,30,3,125,128
30,3,10,5,27,32
30,3,10,1,80,81
30,3,10,3,125,128
34,1,34,17,64,81
34,1,34,1,288,289
36,1,36,1,512,513
36,2,18,1,80,81
36,2,18,3,125,128
36,3,12,1,48,49
36,3,12,1,63,64
36,3,12,32,49,81
40,1,40,1,48,49
40,1,40,4,45,49
40,1,40,9,40,49
40,1,40,24,25,49
40,1,40,1,49,50
40,1,40,5,49,54
40,1,40,1,63,64
40,1,40,15,49,64
40,1,40,1,80,81
40,1,40,25,56,81
40,1,40,32,49,81
40,1,40,27,98,125
40,1,40,1,125,126
40,1,40,3,125,128
40,1,40,7,128,135
40,1,40,64,125,189
40,1,40,1,224,225
40,1,40,2,243,245
40,1,40,7,243,250
40,1,40,81,175,256
40,1,40,100,243,343
40,1,40,32,343,375
40,1,40,49,576,625
40,1,40,5,1024,1029
40,1,40,1,2400,2401
40,1,40,1,4374,4375
40,2,20,4,121,125
40,4,10,1,80,81
40,4,10,3,125,128
42,1,42,1,48,49
42,1,42,16,33,49
42,1,42,22,27,49
42,1,42,1,63,64
42,1,42,4,77,81
42,1,42,32,49,81
42,1,42,7,81,88
42,1,42,1,98,99
42,1,42,9,112,121
42,1,42,49,72,121
42,1,42,7,121,128
42,1,42,1,242,243
42,1,42,9,343,352
42,1,42,27,512,539
42,1,42,8,1323,1331
44,2,22,1,242,243
48,1,48,1,80,81
48,1,48,3,125,128
48,2,24,13,243,256
48,4,12,1,63,64
48,4,12,32,49,81
50,1,50,1,64,65
50,5,10,1,80,81
50,5,10,3,125,128
52,1,52,13,243,256
52,2,26,169,343,512
54,1,54,1,63,64
54,1,54,32,49,81
54,3,18,1,80,81
54,3,18,3,125,128
56,2,28,1,63,64
56,2,28,15,49,64
56,2,28,1,80,81
56,2,28,25,56,81
56,2,28,32,49,81
56,2,28,27,98,125
56,2,28,1,125,126
56,2,28,3,125,128
56,2,28,7,128,135
56,2,28,64,125,189
56,2,28,1,224,225
56,2,28,2,243,245
56,2,28,7,243,250
56,2,28,81,175,256
56,2,28,100,243,343
56,2,28,32,343,375
56,2,28,49,576,625
56,2,28,5,1024,1029
56,2,28,1,2400,2401
58,1,58,1,80,81
58,1,58,9,116,125
58,1,58,29,96,125
58,1,58,3,125,128
58,1,58,1,144,145
58,1,58,64,81,145
58,1,58,5,256,261
58,1,58,4,725,729
58,1,58,216,625,841
60,1,60,1,80,81
60,1,60,31,50,81
60,1,60,1,124,125
60,1,60,32,93,125
60,1,60,3,125,128
60,1,60,27,128,155
60,1,60,5,243,248
60,1,60,31,225,256
60,1,60,1,960,961
60,2,30,1,80,81
60,2,30,3,125,128
60,3,20,4,121,125
60,5,12,1,63,64
60,5,12,32,49,81
60,6,10,1,80,81
60,6,10,3,125,128
64,1,64,1,242,243
66,1,66,17,64,81
66,1,66,32,121,153
66,1,66,1,242,243
66,1,66,1,288,289
66,1,66,33,256,289
66,1,66,8,289,297
66,1,66,1,1088,1089
66,1,66,243,1088,1331
66,1,66,9,2048,2057
66,1,66,11,2176,2187
66,3,22,1,242,243
68,1,68,25,2023,2048
68,2,34,17,64,81
68,2,34,1,288,289
70,1,70,1,80,81
70,1,70,25,56,81
70,1,70,32,49,81
70,1,70,27,98,125
70,1,70,1,125,126
70,1,70,3,125,128
70,1,70,7,128,135
70,1,70,64,125,189
70,1,70,1,224,225
70,1,70,2,243,245
70,1,70,7,243,250
70,1,70,81,175,256
70,1,70,100,243,343
70,1,70,32,343,375
70,1,70,49,576,625
70,1,70,5,1024,1029
70,1,70,1,2400,2401
70,1,70,1,4374,4375
70,7,10,1,80,81
70,7,10,3,125,128
72,2,36,1,512,513
72,3,24,13,243,256
72,4,18,1,80,81
72,4,18,3,125,128
72,6,12,32,49,81
76,1,76,2,169,171
76,1,76,4,243,247
76,1,76,9,247,256
76,1,76,13,243,256
76,1,76,169,192,361
76,1,76,1,512,513
76,1,76,1024,2187,3211
78,1,78,8,117,125
78,1,78,3,125,128
78,1,78,9,160,169
78,1,78,25,144,169
78,1,78,81,169,250
78,1,78,13,243,256
78,1,78,1,324,325
78,1,78,5,507,512
78,1,78,1,624,625
78,1,78,1,675,676
78,1,78,104,625,729
78,1,78,10,2187,2197
78,3,26,169,343,512
80,1,80,1,1024,1025
80,2,40,27,98,125
80,2,40,1,125,126
80,2,40,3,125,128
80,2,40,7,128,135
80,2,40,64,125,189
80,2,40,1,224,225
80,2,40,2,243,245
80,2,40,7,243,250
80,2,40,81,175,256
80,2,40,100,243,343
80,2,40,32,343,375
80,2,40,49,576,625
80,2,40,5,1024,1029
80,2,40,1,2400,2401
80,2,40,1,4374,4375
80,4,20,4,121,125
80,8,10,3,125,128
82,1,82,1,287,288
82,1,82,41,343,384
84,1,84,1,128,129
84,1,84,1,343,344
84,1,84,43,686,729
84,2,42,7,81,88
84,2,42,1,98,99
84,2,42,9,112,121
84,2,42,49,72,121
84,2,42,7,121,128
84,2,42,1,242,243
84,2,42,9,343,352
84,2,42,27,512,539
84,2,42,8,1323,1331
84,3,28,27,98,125
84,3,28,1,125,126
84,3,28,3,125,128
84,3,28,7,128,135
84,3,28,64,125,189
84,3,28,1,224,225
84,3,28,2,243,245
84,3,28,7,243,250
84,3,28,81,175,256
84,3,28,100,243,343
84,3,28,32,343,375
84,3,28,49,576,625
84,3,28,5,1024,1029
84,3,28,1,2400,2401
88,1,88,1,99,100
88,1,88,1,120,121
88,1,88,25,96,121
88,1,88,40,81,121
88,1,88,4,121,125
88,1,88,44,81,125
88,1,88,3,125,128
88,1,88,1,242,243
88,1,88,121,135,256
88,1,88,32,243,275
88,1,88,25,704,729
88,1,88,81,1250,1331
88,1,88,625,2048,2673
88,4,22,1,242,243
90,1,90,3,125,128
90,1,90,115,128,243
90,1,90,125,243,368
90,1,90,1,575,576
90,1,90,4,621,625
90,1,90,96,529,625
90,1,90,23,625,648
90,1,90,200,529,729
90,1,90,23,2025,2048
90,3,30,3,125,128
90,5,18,3,125,128
90,9,10,3,125,128
94,1,94,47,81,128
96,2,48,3,125,128
96,4,24,13,243,256
100,1,100,17,108,125
100,1,100,3,125,128
100,1,100,1,135,136
100,1,100,25,128,153
100,1,100,1,255,256
100,1,100,1,288,289
100,1,100,64,225,289
100,1,100,81,544,625
100,1,100,125,2187,2312
100,5,20,4,121,125
100,10,10,3,125,128
102,1,102,16,153,169
102,1,102,13,243,256
102,1,102,1,288,289
102,1,102,81,208,289
102,3,34,1,288,289
104,2,52,13,243,256
104,4,26,169,343,512
108,1,108,1,120,121
108,1,108,25,96,121
108,1,108,40,81,121
108,1,108,4,121,125
108,1,108,44,81,125
108,1,108,3,125,128
108,1,108,1,242,243
108,1,108,121,135,256
108,1,108,32,243,275
108,1,108,25,704,729
108,1,108,81,1250,1331
108,1,108,625,2048,2673
108,3,36,1,512,513
108,6,18,3,125,128
110,1,110,4,121,125
110,1,110,7,121,128
110,1,110,1,175,176
110,1,110,11,245,256
110,1,110,343,625,968
110,1,110,11,3125,3136
110,5,22,1,242,243
110,11,10,3,125,128
112,1,112,19,128,147
112,1,112,19,224,243
112,1,112,1,342,343
112,1,112,19,324,343
112,1,112,18,343,361
112,1,112,1,512,513
112,1,112,7,722,729
112,4,28,27,98,125
112,4,28,1,125,126
112,4,28,3,125,128
112,4,28,7,128,135
112,4,28,64,125,189
112,4,28,1,224,225
112,4,28,2,243,245
112,4,28,7,243,250
112,4,28,81,175,256
112,4,28,100,243,343
112,4,28,32,343,375
112,4,28,49,576,625
112,4,28,5,1024,1029
112,4,28,1,2400,2401
114,1,114,1,512,513
116,2,58,9,116,125
116,2,58,29,96,125
116,2,58,3,125,128
116,2,58,1,144,145
116,2,58,64,81,145
116,2,58,5,256,261
116,2,58,4,725,729
116,2,58,216,625,841
118,1,118,3,125,128
118,1,118,118,125,243
118,1,118,295,729,1024
118,1,118,25,3456,3481
120,1,120,3,122,125
120,1,120,61,64,125
120,1,120,3,125,128
120,1,120,1,243,244
120,1,120,375,3721,4096
120,1,120,9,15616,15625
120,2,60,1,124,125
120,2,60,32,93,125
120,2,60,3,125,128
120,2,60,27,128,155
120,2,60,5,243,248
120,2,60,31,225,256
120,2,60,1,960,961
120,3,40,27,98,125
120,3,40,1,125,126
120,3,40,3,125,128
120,3,40,7,128,135
120,3,40,64,125,189
120,3,40,1,224,225
120,3,40,2,243,245
120,3,40,7,243,250
120,3,40,81,175,256
120,3,40,100,243,343
120,3,40,32,343,375
120,3,40,49,576,625
120,3,40,5,1024,1029
120,3,40,1,2400,2401
120,3,40,1,4374,4375
120,4,30,3,125,128
120,5,24,13,243,256
120,6,20,4,121,125
120,12,10,3,125,128
124,1,124,1,216,217
124,1,124,64,279,343
124,1,124,217,512,729
124,1,124,63,961,1024
124,1,124,1,3968,3969
126,3,42,7,121,128
126,3,42,1,242,243
126,3,42,9,343,352
126,3,42,27,512,539
126,3,42,8,1323,1331
126,7,18,3,125,128
128,2,64,1,242,243
130,1,130,8,135,143
130,1,130,15,128,143
130,1,130,18,125,143
130,1,130,1,143,144
130,1,130,39,121,160
130,1,130,4,165,169
130,1,130,9,160,169
130,1,130,25,144,169
130,1,130,44,125,169
130,1,130,48,121,169
130,1,130,81,88,169
130,1,130,11,169,180
130,1,130,104,121,225
130,1,130,117,125,242
130,1,130,1,242,243
130,1,130,100,143,243
130,1,130,81,169,250
130,1,130,13,243,256
130,1,130,121,135,256
130,1,130,32,243,275
130,1,130,13,275,288
130,1,130,128,169,297
130,1,130,1,324,325
130,1,130,1,351,352
130,1,130,27,325,352
130,1,130,25,338,363
130,1,130,11,405,416
130,1,130,5,507,512
130,1,130,1,624,625
130,1,130,1,675,676
130,1,130,25,704,729
130,1,130,104,625,729
130,1,130,143,625,768
130,1,130,65,1024,1089
130,1,130,81,1250,1331
130,1,130,486,845,1331
130,1,130,351,1024,1375
130,1,130,169,1331,1500
130,1,130,27,1573,1600
130,1,130,16,1859,1875
130,1,130,10,2187,2197
130,1,130,3,2197,2200
130,1,130,13,2187,2200
130,1,130,363,2197,2560
130,1,130,625,2048,2673
130,1,130,1,4224,4225
130,1,130,64,6591,6655
130,1,130,1,6655,6656
130,1,130,16,14625,14641
130,1,130,1936,13689,15625
130,5,26,169,343,512
132,1,132,1,242,243
132,1,132,67,176,243
132,1,132,8,729,737
132,1,132,1331,4096,5427
132,2,66,32,121,153
132,2,66,1,242,243
132,2,66,1,288,289
132,2,66,33,256,289
132,2,66,8,289,297
132,2,66,1,1088,1089
132,2,66,243,1088,1331
132,2,66,9,2048,2057
132,2,66,11,2176,2187
132,6,22,1,242,243
136,1,136,1,288,289
136,1,136,46,243,289
136,1,136,17,512,529
136,2,68,25,2023,2048
136,4,34,1,288,289
138,1,138,32,115,147
138,1,138,1,160,161
138,1,138,36,125,161
138,1,138,80,81,161
138,1,138,1,161,162
138,1,138,9,175,184
138,1,138,49,135,184
138,1,138,5,184,189
138,1,138,64,125,189
138,1,138,81,115,196
138,1,138,7,200,207
138,1,138,32,175,207
138,1,138,1,224,225
138,1,138,64,161,225
138,1,138,115,128,243
138,1,138,2,243,245
138,1,138,7,243,250
138,1,138,49,207,256
138,1,138,81,175,256
138,1,138,23,320,343
138,1,138,100,243,343
138,1,138,2,343,345
138,1,138,25,343,368
138,1,138,125,243,368
138,1,138,7,368,375
138,1,138,32,343,375
138,1,138,4,525,529
138,1,138,25,504,529
138,1,138,49,480,529
138,1,138,81,448,529
138,1,138,8,567,575
138,1,138,63,512,575
138,1,138,1,575,576
138,1,138,4,621,625
138,1,138,49,576,625
138,1,138,96,529,625
138,1,138,184,441,625
138,1,138,23,625,648
138,1,138,200,529,729
138,1,138,1,735,736
138,1,138,7,729,736
138,1,138,5,1024,1029
138,1,138,500,529,1029
138,1,138,2,1125,1127
138,1,138,25,1127,1152
138,1,138,529,686,1215
138,1,138,128,1587,1715
138,1,138,243,1472,1715
138,1,138,23,2025,2048
138,1,138,1,2400,2401
138,1,138,1,2645,2646
138,1,138,49,3125,3174
138,1,138,256,3125,3381
138,1,138,1,4374,4375
138,1,138,161,6400,6561
138,1,138,2401,9375,11776
138,1,138,162,12005,12167
138,1,138,8192,8575,16767
138,1,138,40,16767,16807
140,1,140,71,125,196
140,1,140,128,497,625
140,2,70,64,125,189
140,2,70,1,224,225
140,2,70,2,243,245
140,2,70,7,243,250
140,2,70,81,175,256
140,2,70,100,243,343
140,2,70,32,343,375
140,2,70,49,576,625
140,2,70,5,1024,1029
140,2,70,1,2400,2401
140,2,70,1,4374,4375
140,5,28,64,125,189
140,5,28,1,224,225
140,5,28,2,243,245
140,5,28,7,243,250
140,5,28,81,175,256
140,5,28,100,243,343
140,5,28,32,343,375
140,5,28,49,576,625
140,5,28,5,1024,1029
140,5,28,1,2400,2401
144,4,36,1,512,513
144,6,24,13,243,256
148,1,148,37,125,162
148,1,148,1,999,1000
148,1,148,25,999,1024
148,1,148,640,729,1369
148,1,148,128,2997,3125
150,1,150,1,360,361
150,1,150,125,361,486
150,1,150,1,512,513
150,1,150,1,1215,1216
150,1,150,243,1805,2048
152,1,152,343,361,704
152,2,76,2,169,171
152,2,76,4,243,247
152,2,76,9,247,256
152,2,76,13,243,256
152,2,76,169,192,361
152,2,76,1,512,513
152,2,76,1024,2187,3211
154,1,154,1,168,169
154,1,154,7,162,169
154,1,154,22,147,169
154,1,154,48,121,169
154,1,154,81,88,169
154,1,154,7,169,176
154,1,154,13,176,189
154,1,154,49,143,192
154,1,154,27,169,196
154,1,154,81,143,224
154,1,154,1,242,243
154,1,154,13,243,256
154,1,154,128,169,297
154,1,154,8,343,351
154,1,154,1,351,352
154,1,154,9,343,352
154,1,154,1,363,364
154,1,154,121,243,364
154,1,154,143,343,486
154,1,154,169,343,512
154,1,154,27,512,539
154,1,154,32,507,539
154,1,154,11,637,648
154,1,154,1,728,729
154,1,154,8,1323,1331
154,1,154,512,819,1331
154,1,154,13,1331,1344
154,1,154,21,1331,1352
154,1,154,128,1573,1701
154,1,154,189,1859,2048
154,1,154,343,2816,3159
154,1,154,1331,2197,3528
154,1,154,363,4096,4459
154,1,154,1183,6561,7744
154,1,154,1,10647,10648
154,1,154,8019,8788,16807
154,7,22,1,242,243
156,1,156,13,243,256
156,1,156,3,1024,1027
156,1,156,64,2133,2197
156,2,78,9,160,169
156,2,78,25,144,169
156,2,78,81,169,250
156,2,78,13,243,256
156,2,78,1,324,325
156,2,78,5,507,512
156,2,78,1,624,625
156,2,78,1,675,676
156,2,78,104,625,729
156,2,78,10,2187,2197
156,3,52,13,243,256
156,6,26,169,343,512
160,2,80,1,1024,1025
160,4,40,64,125,189
160,4,40,1,224,225
160,4,40,2,243,245
160,4,40,7,243,250
160,4,40,81,175,256
160,4,40,100,243,343
160,4,40,32,343,375
160,4,40,49,576,625
160,4,40,5,1024,1029
160,4,40,1,2400,2401
160,4,40,1,4374,4375
164,2,82,1,287,288
164,2,82,41,343,384
166,1,166,7,249,256
168,1,168,64,125,189
168,1,168,17,175,192
168,1,168,81,119,200
168,1,168,1,224,225
168,1,168,5,238,243
168,1,168,68,175,243
168,1,168,2,243,245
168,1,168,7,243,250
168,1,168,1,255,256
168,1,168,81,175,256
168,1,168,27,245,272
168,1,168,125,147,272
168,1,168,1,288,289
168,1,168,9,280,289
168,1,168,49,240,289
168,1,168,64,225,289
168,1,168,100,189,289
168,1,168,5,289,294
168,1,168,35,289,324
168,1,168,3,340,343
168,1,168,54,289,343
168,1,168,100,243,343
168,1,168,17,343,360
168,1,168,32,343,375
168,1,168,119,256,375
168,1,168,17,375,392
168,1,168,7,425,432
168,1,168,16,425,441
168,1,168,49,576,625
168,1,168,81,544,625
168,1,168,289,336,625
168,1,168,49,680,729
168,1,168,343,425,768
168,1,168,8,867,875
168,1,168,289,735,1024
168,1,168,5,1024,1029
168,1,168,1,1224,1225
168,1,168,5,1372,1377
168,1,168,625,833,1458
168,1,168,1,1700,1701
168,1,168,256,1445,1701
168,1,168,2,2023,2025
168,1,168,25,2023,2048
168,1,168,833,1215,2048
168,1,168,125,2187,2312
168,1,168,1,2400,2401
168,1,168,225,2176,2401
168,1,168,1024,1377,2401
168,1,168,1,2499,2500
168,1,168,200,2401,2601
168,1,168,343,3125,3468
168,1,168,459,3125,3584
168,1,168,35,4096,4131
168,1,168,1,4374,4375
168,1,168,17,5103,5120
168,1,168,1,5831,5832
168,1,168,289,6272,6561
168,1,168,3087,4913,8000
168,1,168,68,16807,16875
168,2,84,1,343,344
168,2,84,43,686,729
168,4,42,1,242,243
168,4,42,9,343,352
168,4,42,27,512,539
168,4,42,8,1323,1331
168,6,28,64,125,189
168,6,28,1,224,225
168,6,28,2,243,245
168,6,28,7,243,250
168,6,28,81,175,256
168,6,28,100,243,343
168,6,28,32,343,375
168,6,28,49,576,625
168,6,28,5,1024,1029
168,6,28,1,2400,2401
168,7,24,13,243,256
170,5,34,1,288,289
174,1,174,1,242,243
174,1,174,11,232,243
174,3,58,5,256,261
174,3,58,4,725,729
174,3,58,216,625,841
176,2,88,1,242,243
176,2,88,121,135,256
176,2,88,32,243,275
176,2,88,25,704,729
176,2,88,81,1250,1331
176,2,88,625,2048,2673
176,8,22,1,242,243
178,1,178,89,640,729
178,1,178,1,800,801
180,1,180,20,169,189
180,1,180,64,125,189
180,1,180,1,195,196
180,1,180,27,169,196
180,1,180,91,125,216
180,1,180,1,224,225
180,1,180,56,169,225
180,1,180,35,208,243
180,1,180,2,243,245
180,1,180,117,128,245
180,1,180,7,243,250
180,1,180,81,169,250
180,1,180,13,243,256
180,1,180,81,175,256
180,1,180,125,169,294
180,1,180,1,324,325
180,1,180,5,338,343
180,1,180,18,325,343
180,1,180,100,243,343
180,1,180,135,208,343
180,1,180,1,350,351
180,1,180,8,343,351
180,1,180,32,343,375
180,1,180,49,351,400
180,1,180,13,392,405
180,1,180,25,416,441
180,1,180,125,343,468
180,1,180,7,500,507
180,1,180,5,507,512
180,1,180,169,343,512
180,1,180,13,512,525
180,1,180,1,624,625
180,1,180,49,576,625
180,1,180,12,625,637
180,1,180,125,512,637
180,1,180,3,637,640
180,1,180,1,675,676
180,1,180,1,728,729
180,1,180,104,625,729
180,1,180,169,560,729
180,1,180,49,975,1024
180,1,180,5,1024,1029
180,1,180,32,1183,1215
180,1,180,625,896,1521
180,1,180,729,896,1625
180,1,180,13,1715,1728
180,1,180,10,2187,2197
180,1,180,405,1792,2197
180,1,180,972,1225,2197
180,1,180,8,2197,2205
180,1,180,1,2400,2401
180,1,180,875,2197,3072
180,1,180,1,4095,4096
180,1,180,256,3969,4225
180,1,180,1,4374,4375
180,1,180,2401,4160,6561
180,1,180,1183,8192,9375
180,1,180,9,10976,10985
180,1,180,1625,16807,18432
180,1,180,243,21632,21875
180,2,90,115,128,243
180,2,90,125,243,368
180,2,90,1,575,576
180,2,90,4,621,625
180,2,90,96,529,625
180,2,90,23,625,648
180,2,90,200,529,729
180,2,90,23,2025,2048
180,3,60,5,243,248
180,3,60,31,225,256
180,3,60,1,960,961
180,5,36,1,512,513
182,1,182,169,343,512
182,7,26,169,343,512
184,1,184,23,256,279
184,1,184,16,713,729
184,1,184,432,529,961
186,1,186,1,1457,1458
190,1,190,1,360,361
190,1,190,125,361,486
190,1,190,1,512,513
190,1,190,1,1215,1216
190,1,190,243,1805,2048
192,3,64,1,242,243
192,8,24,13,243,256
196,1,196,1,242,243
196,1,196,9,343,352
196,1,196,27,512,539
196,1,196,8,1323,1331
196,7,28,1,224,225
196,7,28,2,243,245
196,7,28,7,243,250
196,7,28,81,175,256
196,7,28,100,243,343
196,7,28,32,343,375
196,7,28,49,576,625
196,7,28,5,1024,1029
196,7,28,1,2400,2401
198,1,198,1,242,243
198,1,198,121,135,256
198,1,198,32,243,275
198,1,198,25,704,729
198,1,198,81,1250,1331
198,1,198,625,2048,2673
198,3,66,1,242,243
198,3,66,1,288,289
198,3,66,33,256,289
198,3,66,8,289,297
198,3,66,1,1088,1089
198,3,66,243,1088,1331
198,3,66,9,2048,2057
198,3,66,11,2176,2187
198,9,22,1,242,243
200,2,100,1,255,256
200,2,100,1,288,289
200,2,100,64,225,289
200,2,100,81,544,625
200,2,100,125,2187,2312
200,5,40,1,224,225
200,5,40,2,243,245
200,5,40,7,243,250
200,5,40,81,175,256
200,5,40,100,243,343
200,5,40,32,343,375
200,5,40,49,576,625
200,5,40,5,1024,1029
200,5,40,1,2400,2401
200,5,40,1,4374,4375
202,1,202,1,288,289
204,1,204,103,153,256
204,1,204,1,288,289
204,1,204,1648,4913,6561
204,2,102,13,243,256
204,2,102,1,288,289
204,2,102,81,208,289
204,3,68,25,2023,2048
204,6,34,1,288,289
208,1,208,91,125,216
208,1,208,1,224,225
208,1,208,56,169,225
208,1,208,35,208,243
208,1,208,2,243,245
208,1,208,117,128,245
208,1,208,7,243,250
208,1,208,81,169,250
208,1,208,13,243,256
208,1,208,81,175,256
208,1,208,125,169,294
208,1,208,1,324,325
208,1,208,5,338,343
208,1,208,18,325,343
208,1,208,100,243,343
208,1,208,135,208,343
208,1,208,1,350,351
208,1,208,8,343,351
208,1,208,32,343,375
208,1,208,49,351,400
208,1,208,13,392,405
208,1,208,25,416,441
208,1,208,125,343,468
208,1,208,7,500,507
208,1,208,5,507,512
208,1,208,169,343,512
208,1,208,13,512,525
208,1,208,1,624,625
208,1,208,49,576,625
208,1,208,12,625,637
208,1,208,125,512,637
208,1,208,3,637,640
208,1,208,1,675,676
208,1,208,1,728,729
208,1,208,104,625,729
208,1,208,169,560,729
208,1,208,49,975,1024
208,1,208,5,1024,1029
208,1,208,32,1183,1215
208,1,208,625,896,1521
208,1,208,729,896,1625
208,1,208,13,1715,1728
208,1,208,10,2187,2197
208,1,208,405,1792,2197
208,1,208,972,1225,2197
208,1,208,8,2197,2205
208,1,208,1,2400,2401
208,1,208,875,2197,3072
208,1,208,1,4095,4096
208,1,208,256,3969,4225
208,1,208,1,4374,4375
208,1,208,2401,4160,6561
208,1,208,1183,8192,9375
208,1,208,9,10976,10985
208,1,208,1625,16807,18432
208,1,208,243,21632,21875
208,4,52,13,243,256
208,8,26,169,343,512
210,1,210,1,224,225
210,1,210,2,243,245
210,1,210,53,192,245
210,1,210,7,243,250
210,1,210,81,175,256
210,1,210,9,256,265
210,1,210,49,216,265
210,1,210,25,318,343
210,1,210,100,243,343
210,1,210,128,243,371
210,1,210,4,371,375
210,1,210,32,343,375
210,1,210,49,375,424
210,1,210,81,343,424
210,1,210,35,477,512
210,1,210,49,576,625
210,1,210,159,625,784
210,1,210,27,848,875
210,1,210,5,1024,1029
210,1,210,2,1323,1325
210,1,210,243,1325,1568
210,1,210,5,1696,1701
210,1,210,53,2187,2240
210,1,210,1,2400,2401
210,1,210,16,2385,2401
210,1,210,159,2401,2560
210,1,210,5,2592,2597
210,1,210,9,2800,2809
210,1,210,784,2025,2809
210,1,210,53,3072,3125
210,1,210,1,4374,4375
210,1,210,7,5618,5625
210,1,210,625,5936,6561
210,1,210,64,6561,6625
210,1,210,2809,12500,15309
210,1,210,20,19663,19683
210,3,70,1,224,225
210,3,70,2,243,245
210,3,70,7,243,250
210,3,70,81,175,256
210,3,70,100,243,343
210,3,70,32,343,375
210,3,70,49,576,625
210,3,70,5,1024,1029
210,3,70,1,2400,2401
210,3,70,1,4374,4375
210,5,42,1,242,243
210,5,42,9,343,352
210,5,42,27,512,539
210,5,42,8,1323,1331
216,2,108,1,242,243
216,2,108,121,135,256
216,2,108,32,243,275
216,2,108,25,704,729
216,2,108,81,1250,1331
216,2,108,625,2048,2673
216,6,36,1,512,513
216,9,24,13,243,256
220,1,220,1,242,243
220,1,220,121,135,256
220,1,220,32,243,275
220,1,220,1,296,297
220,1,220,37,363,400
220,1,220,2,405,407
220,1,220,32,375,407
220,1,220,25,407,432
220,1,220,33,592,625
220,1,220,25,704,729
220,1,220,11,729,740
220,1,220,1,999,1000
220,1,220,25,999,1024
220,1,220,99,925,1024
220,1,220,81,1250,1331
220,1,220,1,1331,1332
220,1,220,640,729,1369
220,1,220,6,1369,1375
220,1,220,625,2048,2673
220,1,220,1331,1369,2700
220,1,220,128,2997,3125
220,1,220,11,4096,4107
220,1,220,1936,4625,6561
220,1,220,37,6875,6912
220,1,220,1369,14256,15625
220,2,110,11,245,256
220,2,110,343,625,968
220,2,110,11,3125,3136
220,10,22,1,242,243
222,1,222,3,256,259
222,1,222,16,243,259
222,1,222,3,1369,1372
224,2,112,19,224,243
224,2,112,1,342,343
224,2,112,19,324,343
224,2,112,18,343,361
224,2,112,1,512,513
224,2,112,7,722,729
224,8,28,2,243,245
224,8,28,7,243,250
224,8,28,81,175,256
224,8,28,100,243,343
224,8,28,32,343,375
224,8,28,49,576,625
224,8,28,5,1024,1029
224,8,28,1,2400,2401
226,1,226,1,512,513
228,1,228,115,128,243
228,1,228,1,360,361
228,1,228,16,345,361
228,1,228,125,243,368
228,1,228,23,361,384
228,1,228,5,432,437
228,1,228,32,405,437
228,1,228,125,361,486
228,1,228,75,437,512
228,1,228,1,512,513
228,1,228,16,513,529
228,1,228,54,475,529
228,1,228,225,304,529
228,1,228,1,575,576
228,1,228,4,621,625
228,1,228,96,529,625
228,1,228,19,621,640
228,1,228,23,625,648
228,1,228,200,529,729
228,1,228,361,368,729
228,1,228,361,375,736
228,1,228,25,1058,1083
228,1,228,1,1215,1216
228,1,228,23,2025,2048
228,1,228,243,1805,2048
228,1,228,2,2185,2187
228,1,228,512,1863,2375
228,1,228,243,2645,2888
228,2,114,1,512,513
228,3,76,4,243,247
228,3,76,9,247,256
228,3,76,13,243,256
228,3,76,169,192,361
228,3,76,1,512,513
228,3,76,1024,2187,3211
230,1,230,29,500,529
232,1,232,13,243,256
232,1,232,87,169,256
232,1,232,9,832,841
232,1,232,29,1024,1053
232,4,58,5,256,261
232,4,58,4,725,729
232,4,58,216,625,841
234,1,234,13,243,256
234,1,234,1,767,768
234,3,78,81,169,250
234,3,78,13,243,256
234,3,78,1,324,325
234,3,78,5,507,512
234,3,78,1,624,625
234,3,78,1,675,676
234,3,78,104,625,729
234,3,78,10,2187,2197
234,9,26,169,343,512
236,2,118,118,125,243
236,2,118,295,729,1024
236,2,118,25,3456,3481
238,1,238,5,238,243
