U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
2,348,2,0,0,4,1,348,1024,5,1029
2,348,4,0,0,8,1,348,1024,5,1029
2,350,2,0,0,2,2,175,294,1,295
2,350,2,0,0,2,2,175,4374,1,4375
2,350,2,0,0,4,2,175,1024,5,1029
2,350,2,0,0,8,2,175,944,1,945
2,350,10,0,0,2,2,175,1568,25,1593
2,350,10,0,0,10,5,70,128,7,135
2,350,14,0,0,4,2,175,236,7,243
2,350,14,0,0,56,14,25,80,1,81
2,350,20,0,0,20,5,70,128,7,135
2,350,50,0,0,2,2,175,288,125,413
2,350,250,0,0,2,2,175,118,125,243
2,350,270,0,0,2,2,175,8,405,413
2,351,3,0,0,12,3,117,272,1,273
2,351,9,0,0,3,3,117,2176,21,2197
2,351,21,0,0,3,3,117,162,7,169
2,351,27,0,0,27,27,13,26,1,27
2,351,27,0,0,108,27,13,80,1,81
2,351,39,0,0,39,39,9,242,1,243
2,351,351,0,0,54,27,13,12,13,25
2,355,1,0,0,1,1,355,4374,1,4375
2,355,1,0,0,2,1,355,1024,5,1029
2,355,1,0,0,2,1,355,1700,1,1701
2,355,5,0,0,2,1,355,1372,5,1377
2,355,9,0,0,1,1,355,568,27,595
2,355,71,0,0,1,1,355,128,497,625
2,355,81,0,0,1,1,355,640,567,1207
2,355,289,0,0,1,1,355,350,289,639
2,355,289,0,0,1,1,355,8,867,875
2,357,17,0,0,68,17,21,48,1,49
2,357,51,0,0,17,17,21,46,3,49
2,360,4,0,0,8,2,180,1024,5,1029
2,360,8,0,0,16,2,180,1024,5,1029
2,360,8,0,0,32,8,45,80,1,81
2,360,18,0,0,18,9,40,128,7,135
2,360,20,0,0,4,2,180,416,25,441
2,360,24,0,0,24,24,15,50,1,51
2,360,24,0,0,96,24,15,80,1,81
2,360,36,0,0,36,9,40,128,7,135
2,360,40,0,0,8,2,180,416,25,441
2,360,40,0,0,40,40,9,242,1,243
2,361,19,0,0,19,19,19,342,1,343
2,361,19,0,0,76,19,19,48,1,49
2,361,133,0,0,19,19,19,722,7,729
2,361,361,0,0,38,19,19,324,19,343
2,363,3,0,0,3,3,121,242,1,243
2,363,11,0,0,11,11,33,54,1,55
2,363,11,0,0,11,11,33,98,1,99
2,363,11,0,0,11,11,33,128,7,135
2,363,11,0,0,11,11,33,242,1,243
2,363,11,0,0,22,11,33,44,1,45
2,363,11,0,0,44,11,33,48,1,49
2,363,11,0,0,44,11,33,80,1,81
2,363,33,0,0,11,11,33,40,9,49
2,363,33,0,0,11,11,33,242,3,245
2,363,33,0,0,11,11,33,512,27,539
2,363,33,0,0,11,11,33,616,9,625
2,363,55,0,0,11,11,33,96,25,121
2,363,81,0,0,1,1,363,1250,81,1331
2,363,99,0,0,11,11,33,32,45,77
2,363,121,0,0,11,11,33,70,11,81
2,363,121,0,0,11,11,33,288,55,343
2,363,125,0,0,1,1,363,32,625,657
2,363,231,0,0,11,11,33,128,147,275
2,363,297,0,0,11,11,33,22,27,49
2,363,297,0,0,11,11,33,50,27,77
2,363,297,0,0,11,11,33,40,81,121
2,363,297,0,0,11,11,33,98,27,125
2,363,363,0,0,44,11,33,16,33,49
2,364,26,0,0,26,13,28,128,7,135
2,364,28,0,0,4,4,91,162,7,169
2,364,28,0,0,28,28,13,26,1,27
2,364,28,0,0,112,28,13,80,1,81
2,364,52,0,0,52,13,28,128,7,135
2,364,364,0,0,56,28,13,12,13,25
2,365,5,0,0,20,5,73,80,1,81
2,366,6,0,0,2,2,183,296,9,305
2,369,41,0,0,41,41,9,242,1,243
2,372,4,0,0,4,4,93,152,3,155
2,372,4,0,0,8,4,93,124,1,125
2,372,12,0,0,12,12,31,242,1,243
