U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
12,1659,111,111,0,3,3,553,588,37,625
12,1664,1664,1664,0,128,128,13,12,13,25
12,1670,4,5,0,2,1,1670,3168,5,3173
12,1672,190,475,0,19,19,88,96,25,121
12,1677,1677,1677,0,129,129,13,12,13,25
12,1690,1690,1690,0,130,130,13,12,13,25
12,1695,1695,1695,0,15,15,113,12,113,125
12,1700,20,20,0,40,20,85,144,1,145
12,1703,131,131,0,3,1,1703,1728,131,1859
12,1703,403,403,0,1,1,1703,15972,403,16375
12,1703,625,625,0,1,1,1703,1572,625,2197
12,1703,1703,1703,0,131,131,13,12,13,25
12,1716,1716,1716,0,132,132,13,12,13,25
12,1720,8,8,0,8,8,215,300,1,301
12,1720,344,344,0,8,8,215,300,43,343
12,1729,577,577,0,1,1,1729,4116,577,4693
12,1729,1729,1729,0,133,133,13,12,13,25
12,1742,1742,1742,0,134,134,13,12,13,25
12,1750,250,625,0,1,1,1750,4704,625,5329
12,1755,1225,245,0,1,1,1755,972,1225,2197
12,1755,1755,1755,0,135,135,13,12,13,25
12,1760,160,400,0,16,16,110,96,25,121
12,1760,200,500,0,20,20,88,96,25,121
12,1760,704,880,0,32,16,110,288,55,343
12,1768,1768,1768,0,136,136,13,12,13,25
12,1781,1781,1781,0,137,137,13,12,13,25
12,1785,21,21,0,42,21,85,144,1,145
12,1794,78,78,0,6,6,299,516,13,529
12,1794,1794,1794,0,138,138,13,12,13,25
12,1807,1807,1807,0,139,139,13,12,13,25
12,1808,1808,1808,0,16,16,113,12,113,125
12,1818,202,101,0,1,1,1818,7776,505,8281
12,1839,1839,1839,0,3,3,613,12,613,625
12,1846,14,49,0,1,1,1846,4992,49,5041
12,1848,210,525,0,21,21,88,96,25,121
12,1848,264,330,0,12,6,308,288,55,343
12,1848,588,1470,0,6,6,308,96,245,341
12,1853,901,901,0,1,1,1853,1500,901,2401
12,1866,622,622,0,2,2,933,1020,311,1331
12,1870,22,22,0,44,22,85,144,1,145
12,1870,170,425,0,17,17,110,96,25,121
12,1870,748,935,0,34,17,110,288,55,343
12,1883,1225,245,0,1,1,1883,972,1225,2197
12,1921,1921,1921,0,17,17,113,12,113,125
