U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
20,2074,2074,2074,0,34,34,61,20,61,81
20,2077,847,847,0,1,1,2077,1340,847,2187
20,2079,99,99,0,9,9,231,1620,11,1631
20,2091,1,1,0,1,1,2091,3380,1,3381
20,2091,117,351,0,1,1,2091,15680,351,16031
20,2091,343,343,0,1,1,2091,13940,343,14283
20,2091,567,1701,0,1,1,2091,7360,1701,9061
20,2091,943,943,0,1,1,2091,6860,943,7803
20,2091,943,943,0,1,1,2091,8000,2829,10829
20,2100,300,450,0,50,50,42,40,9,49
20,2112,432,648,0,8,8,264,280,81,361
20,2127,2127,2127,0,3,3,709,20,709,729
20,2135,2135,2135,0,35,35,61,20,61,81
20,2142,306,459,0,51,51,42,40,9,49
20,2143,2143,2143,0,1,1,2143,2420,2143,4563
20,2163,2163,2163,0,21,21,103,140,103,243
20,2166,1026,1539,0,19,19,114,760,81,841
20,2167,2167,2167,0,1,1,2167,20,2167,2187
20,2184,312,104,0,8,8,273,500,39,539
20,2184,312,468,0,52,52,42,40,9,49
20,2184,732,366,0,6,6,364,1000,183,1183
20,2191,301,301,0,1,1,2191,6260,301,6561
20,2196,2196,2196,0,36,36,61,20,61,81
20,2209,729,729,0,1,1,2209,2420,729,3149
20,2211,891,891,0,11,11,201,1340,81,1421
20,2214,246,246,0,12,6,369,400,41,441
20,2214,738,369,0,3,3,738,1000,369,1369
20,2226,318,477,0,53,53,42,40,9,49
20,2230,2230,2230,0,10,10,223,20,223,243
20,2233,9,3,0,1,1,2233,3500,9,3509
20,2255,205,205,0,5,5,451,1620,41,1661
20,2257,2257,2257,0,37,37,61,20,61,81
20,2262,206,206,0,2,2,1131,2420,103,2523
20,2265,1715,1715,0,5,5,453,1620,343,1963
20,2266,2266,2266,0,22,22,103,140,103,243
20,2268,324,486,0,54,54,42,40,9,49
20,2277,207,207,0,9,9,253,340,23,363
20,2280,1080,1620,0,20,20,114,760,81,841
20,2288,764,382,0,2,2,1144,1000,573,1573
20,2289,49,49,0,7,7,327,2180,7,2187
20,2310,110,110,0,10,10,231,1620,11,1631
20,2310,330,495,0,55,55,42,40,9,49
20,2318,2318,2318,0,38,38,61,20,61,81
20,2331,57,57,0,3,3,777,980,19,999
20,2343,2343,2343,0,3,3,781,60,781,841
20,2352,336,504,0,56,56,42,40,9,49
20,2355,2355,2355,0,5,5,471,860,471,1331
20,2369,2369,2369,0,23,23,103,140,103,243
20,2376,486,729,0,9,9,264,280,81,361
20,2379,2379,2379,0,39,39,61,20,61,81
20,2388,2116,1058,0,2,2,1194,1000,1587,2587
20,2392,2,7,0,1,1,2392,12160,7,12167
20,2394,14,14,0,2,2,1197,2180,7,2187
20,2394,28,49,0,2,1,2394,3200,49,3249
20,2394,342,513,0,57,57,42,40,9,49
20,2394,1134,1701,0,21,21,114,760,81,841
20,2405,5,5,0,5,5,481,3380,1,3381
20,2405,2405,2405,0,5,5,481,140,481,621
20,2412,972,972,0,12,12,201,1340,81,1421
20,2418,6,18,0,2,2,1209,2240,9,2249
20,2431,811,811,0,1,1,2431,5780,811,6591
20,2436,348,522,0,58,58,42,40,9,49
20,2440,2440,2440,0,40,40,61,20,61,81
20,2451,507,507,0,3,3,817,860,169,1029
20,2451,1677,1677,0,3,3,817,980,559,1539
20,2453,2453,2453,0,11,11,223,20,223,243
20,2457,351,117,0,9,9,273,500,39,539
20,2472,2472,2472,0,24,24,103,140,103,243
20,2478,354,531,0,59,59,42,40,9,49
20,2484,36,54,0,6,6,414,520,9,529
20,2484,2484,2484,0,4,4,621,1780,621,2401
20,2501,2501,2501,0,41,41,61,20,61,81
20,2502,54,243,0,3,3,834,2560,81,2641
20,2508,1188,1782,0,22,22,114,760,81,841
20,2520,360,540,0,60,60,42,40,9,49
20,2530,230,230,0,10,10,253,340,23,363
20,2541,121,121,0,11,11,231,1620,11,1631
20,2548,854,427,0,7,7,364,1000,183,1183
20,2562,366,549,0,61,61,42,40,9,49
20,2562,2562,2562,0,42,42,61,20,61,81
20,2574,162,729,0,1,1,2574,2560,729,3289
20,2575,2575,2575,0,25,25,103,140,103,243
20,2581,1,1,0,1,1,2581,16820,1,16821
20,2583,287,287,0,14,7,369,400,41,441
20,2604,372,558,0,62,62,42,40,9,49
20,2613,1053,1053,0,13,13,201,1340,81,1421
20,2616,56,56,0,8,8,327,2180,7,2187
20,2616,218,763,0,1,1,2616,7040,763,7803
20,2622,202,202,0,2,2,1311,8000,303,8303
20,2622,1242,1863,0,23,23,114,760,81,841
20,2623,2623,2623,0,43,43,61,20,61,81
20,2637,27,27,0,1,1,2637,5860,27,5887
20,2637,29,29,0,1,1,2637,3780,29,3809
20,2640,540,810,0,10,10,264,280,81,361
20,2646,378,567,0,63,63,42,40,9,49
20,2652,684,2052,0,4,4,663,320,513,833
20,2667,3,3,0,3,3,889,2540,1,2541
20,2667,289,289,0,1,1,2667,3140,289,3429
20,2676,2676,2676,0,12,12,223,20,223,243
20,2678,2678,2678,0,26,26,103,140,103,243
20,2684,2684,2684,0,44,44,61,20,61,81
20,2688,384,576,0,64,64,42,40,9,49
20,2695,9,27,0,1,1,2695,9920,27,9947
20,2701,53,53,0,1,1,2701,4860,53,4913
20,2703,53,53,0,1,1,2703,4860,53,4913
20,2703,159,159,0,3,3,901,4860,53,4913
20,2706,246,246,0,6,6,451,1620,41,1661
20,2715,2197,2197,0,1,1,2715,2420,2197,4617
20,2718,2058,2058,0,6,6,453,1620,343,1963
20,2730,390,130,0,10,10,273,500,39,539
20,2730,390,585,0,65,65,42,40,9,49
20,2736,1296,1944,0,24,24,114,760,81,841
20,2737,483,1449,0,1,1,2737,5440,1449,6889
20,2745,2745,2745,0,45,45,61,20,61,81
20,2772,6,9,0,1,1,2772,5320,9,5329
20,2772,28,49,0,2,1,2772,3200,49,3249
20,2772,132,132,0,12,12,231,1620,11,1631
20,2772,396,594,0,66,66,42,40,9,49
20,2781,2781,2781,0,27,27,103,140,103,243
20,2783,253,253,0,11,11,253,340,23,363
20,2806,2806,2806,0,46,46,61,20,61,81
20,2814,402,603,0,67,67,42,40,9,49
20,2814,1134,1134,0,14,14,201,1340,81,1421
20,2826,2826,2826,0,6,6,471,860,471,1331
20,2836,2836,2836,0,4,4,709,20,709,729
20,2838,774,258,0,2,2,1419,5500,387,5887
20,2838,1682,1682,0,2,2,1419,860,841,1701
20,2850,1350,2025,0,25,25,114,760,81,841
20,2856,408,612,0,68,68,42,40,9,49
20,2867,2867,2867,0,47,47,61,20,61,81
20,2884,2884,2884,0,28,28,103,140,103,243
20,2886,6,6,0,6,6,481,3380,1,3381
20,2886,2886,2886,0,6,6,481,140,481,621
20,2894,2894,2894,0,2,2,1447,140,1447,1587
20,2898,42,63,0,7,7,414,520,9,529
20,2898,414,621,0,69,69,42,40,9,49
20,2899,2899,2899,0,13,13,223,20,223,243
20,2904,594,891,0,11,11,264,280,81,361
20,2912,976,488,0,8,8,364,1000,183,1183
20,2928,2928,2928,0,48,48,61,20,61,81
20,2940,420,630,0,70,70,42,40,9,49
20,2943,63,63,0,9,9,327,2180,7,2187
20,2952,328,328,0,16,8,369,400,41,441
20,2952,984,492,0,4,4,738,1000,369,1369
20,2954,174,58,0,2,2,1477,3500,87,3587
