U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
17,3472,4,0,0,4,4,868,2975,1,2976
17,3472,4,0,0,4,4,868,5831,1,5832
17,3472,837,0,0,31,31,112,289,54,343
17,3472,896,0,0,4,4,868,2125,224,2349
17,3472,1024,0,0,8,8,434,833,128,961
17,3472,3472,0,0,4,4,868,289,1736,2025
17,3472,3472,0,0,28,28,124,119,124,243
17,3472,3472,0,0,31,31,112,289,224,513
17,3472,3472,0,0,124,124,28,17,28,45
17,3474,1536,0,0,3,3,1158,2601,1024,3625
17,3480,29,0,0,29,29,120,255,1,256
17,3480,80,0,0,10,10,348,833,8,841
17,3480,80,0,0,20,20,174,289,8,297
17,3480,250,0,0,10,10,348,816,25,841
17,3480,540,0,0,60,60,58,136,9,145
17,3480,2175,0,0,87,87,40,119,25,144
17,3480,3072,0,0,6,6,580,2601,1024,3625
17,3480,3480,0,0,60,60,58,289,116,405
17,3484,1,0,0,1,1,3484,5831,1,5832
17,3484,256,0,0,1,1,3484,4233,256,4489
17,3484,1053,0,0,13,13,268,544,81,625
17,3486,1,0,0,1,1,3486,5831,1,5832
17,3486,343,0,0,1,1,3486,8704,343,9047
17,3498,2597,0,0,1,1,3498,1275,2597,3872
17,3500,2,0,0,2,2,1750,2499,1,2500
17,3500,2,0,0,2,2,1750,5831,1,5832
17,3500,1460,0,0,2,2,1750,5831,730,6561
17,3500,1715,0,0,5,5,700,425,343,768
17,3500,1715,0,0,5,5,700,289,686,975
17,3500,3500,0,0,125,125,28,17,28,45
17,3504,512,0,0,8,8,438,561,64,625
17,3504,648,0,0,8,8,438,544,81,625
17,3504,2847,0,0,3,3,1168,289,1898,2187
17,3504,2847,0,0,3,3,1168,2176,949,3125
17,3504,3504,0,0,12,12,292,51,292,343
17,3508,2048,0,0,1,1,3508,289,4096,4385
17,3510,9,0,0,9,9,390,1224,1,1225
17,3510,9,0,0,9,9,390,1700,1,1701
17,3510,9,0,0,9,9,390,2499,1,2500
17,3510,25,0,0,1,1,3510,7463,25,7488
17,3510,144,0,0,9,9,390,425,16,441
17,3510,1215,0,0,5,5,702,1088,243,1331
17,3510,1521,0,0,9,9,390,272,169,441
17,3510,1728,0,0,27,27,130,561,64,625
17,3510,2187,0,0,27,27,130,544,81,625
17,3510,2304,0,0,9,9,390,2023,512,2535
17,3520,16,0,0,16,16,220,255,1,256
17,3520,16,0,0,16,16,220,374,1,375
17,3520,16,0,0,16,16,220,1088,1,1089
17,3520,128,0,0,4,4,880,1683,32,1715
17,3520,392,0,0,4,4,880,3179,196,3375
17,3520,2160,0,0,16,16,220,272,135,407
17,3520,2200,0,0,88,88,40,119,25,144
17,3520,2500,0,0,4,4,880,833,625,1458
17,3520,3520,0,0,16,16,220,289,440,729
17,3520,3520,0,0,55,55,64,17,64,81
17,3522,3,0,0,3,3,1174,5831,1,5832
17,3528,1029,0,0,1,1,3528,4913,3087,8000
17,3528,1029,0,0,21,21,168,680,49,729
17,3528,3528,0,0,21,21,168,289,336,625
17,3528,3528,0,0,126,126,28,17,28,45
17,3536,68,0,0,17,17,208,221,4,225
17,3536,68,0,0,17,17,208,867,8,875
17,3536,2125,0,0,17,17,208,442,125,567
17,3538,512,0,0,1,1,3538,2601,1024,3625
17,3538,549,0,0,61,61,58,136,9,145
17,3538,3538,0,0,61,61,58,289,116,405
17,3540,4,0,0,1,1,3540,6647,8,6655
17,3540,4,0,0,1,1,3540,12393,4,12397
17,3540,30,0,0,30,30,118,255,1,256
17,3540,125,0,0,1,1,3540,26979,125,27104
17,3540,363,0,0,1,1,3540,4012,363,4375
17,3540,405,0,0,5,5,708,3400,81,3481
17,3540,686,0,0,1,1,3540,6647,1372,8019
17,3540,1024,0,0,1,1,3540,2023,2048,4071
17,3540,1024,0,0,1,1,3540,3519,1024,4543
17,3540,1840,0,0,1,1,3540,289,3680,3969
17,3540,2401,0,0,1,1,3540,1955,2401,4356
17,3540,2401,0,0,1,1,3540,12240,2401,14641
17,3540,2673,0,0,1,1,3540,289,5346,5635
17,3542,11,0,0,11,11,322,391,1,392
17,3542,23,0,0,23,23,154,1088,1,1089
17,3546,2187,0,0,9,9,394,1088,243,1331
17,3552,592,0,0,16,16,222,306,37,343
17,3556,3556,0,0,127,127,28,17,28,45
17,3560,2136,0,0,2,2,1780,2057,1068,3125
17,3560,2225,0,0,89,89,40,119,25,144
17,3564,6,0,0,6,6,594,1088,1,1089
17,3564,96,0,0,3,3,1188,1683,32,1715
17,3564,825,0,0,33,33,108,272,25,297
17,3564,825,0,0,33,33,108,459,25,484
17,3564,1152,0,0,18,18,198,561,64,625
17,3564,1458,0,0,18,18,198,544,81,625
17,3564,2187,0,0,9,9,396,1088,243,1331
17,3564,2187,0,0,27,27,132,187,81,268
17,3564,3564,0,0,33,33,108,17,108,125
17,3568,49,0,0,1,1,3568,3791,49,3840
17,3570,425,0,0,17,17,210,1088,25,1113
17,3572,19,0,0,19,19,188,799,1,800
17,3582,3072,0,0,3,3,1194,1173,1024,2197
17,3584,864,0,0,32,32,112,289,54,343
17,3584,3584,0,0,32,32,112,289,224,513
17,3584,3584,0,0,56,56,64,17,64,81
17,3584,3584,0,0,128,128,28,17,28,45
17,3586,2704,0,0,1,1,3586,2057,2704,4761
17,3588,104,0,0,26,26,138,867,8,875
17,3588,1820,0,0,26,26,138,459,70,529
17,3596,558,0,0,62,62,58,136,9,145
17,3596,1458,0,0,2,2,1798,2635,729,3364
17,3596,3596,0,0,29,29,124,119,124,243
17,3596,3596,0,0,62,62,58,289,116,405
17,3598,200,0,0,1,1,3598,12393,200,12593
17,3598,504,0,0,1,1,3598,4913,1512,6425
