r,a,b,n,s,c,d,m,D,k_lo,k_hi,radprod1,radprod2,support1,support2
1,1,4374,4375,19,1,4374,4375,83125,32,230,210,210,35,35
3,1,4374,4375,19,1,4374,4375,83125,11,76,210,210,35,35
4,1,4374,4375,19,1,4374,4375,83125,8,57,210,210,35,35
5,1,4374,4375,19,1,4374,4375,83125,7,46,210,210,35,35
1,1,3968,3969,21,1,3968,3969,83349,29,188,1302,1302,217,217
2,1,3968,3969,21,1,3968,3969,83349,15,94,1302,1302,217,217
1,8192,19683,27875,3,8192,19683,27875,83625,200,2549,6690,6690,1115,1115
2,8192,8575,16767,5,8192,8575,16767,83835,60,766,4830,4830,805,805
2,1,2400,2401,35,1,2400,2401,84035,9,34,210,210,35,35
1,1,12167,12168,7,1,12167,12168,85176,87,1106,1794,1794,299,299
6,2401,4160,6561,13,2401,4160,6561,85293,8,30,2730,2730,455,455
1,1,14336,14337,6,1,14336,14337,86022,103,1299,2478,2478,413,413
1,1,2400,2401,36,1,2400,2401,86436,18,66,210,210,35,35
1,1,6655,6656,13,1,6655,6656,86528,48,511,1430,1430,715,715
2,1,6655,6656,13,1,6655,6656,86528,24,255,1430,1430,715,715
4,1,6655,6656,13,1,6655,6656,86528,12,127,1430,1430,715,715
1,1,3968,3969,22,1,3968,3969,87318,29,180,1302,1302,217,217
1,1,5831,5832,15,1,5831,5832,87480,42,388,714,714,119,119
1,1,4374,4375,20,1,4374,4375,87500,32,218,210,210,35,35
3,1,4374,4375,20,1,4374,4375,87500,11,72,210,210,35,35
7,1,4374,4375,20,1,4374,4375,87500,5,31,210,210,35,35
2,1,9800,9801,9,1,9800,9801,88209,36,440,2310,2310,385,385
1,13122,16807,29929,3,13122,16807,29929,89787,214,2673,7266,7266,1211,1211
2,1,3968,3969,23,1,3968,3969,91287,15,86,1302,1302,217,217
1,1,4374,4375,21,1,4374,4375,91875,32,208,210,210,35,35
2,1,4374,4375,21,1,4374,4375,91875,16,104,210,210,35,35
4,1,4374,4375,21,1,4374,4375,91875,8,52,210,210,35,35
5,1,4374,4375,21,1,4374,4375,91875,7,41,210,210,35,35
10,1,4374,4375,21,1,4374,4375,91875,4,20,210,210,35,35
1,1,4224,4225,22,1,4224,4225,92950,31,191,4290,4290,715,715
1,1,6655,6656,14,1,6655,6656,93184,48,475,1430,1430,715,715
1,1,5831,5832,16,1,5831,5832,93312,42,364,714,714,119,119
7,1,5831,5832,16,1,5831,5832,93312,6,52,714,714,119,119
9,1,5831,5832,16,1,5831,5832,93312,5,40,714,714,119,119
4,1,2400,2401,39,1,2400,2401,93639,5,15,210,210,35,35
1,1,15624,15625,6,1,15624,15625,93750,112,1375,6510,6510,1085,1085
1,6877,8748,15625,6,6877,8748,15625,93750,112,1146,8970,8970,1495,1495
1,1,2400,2401,40,1,2400,2401,96040,18,59,210,210,35,35
1,1,4374,4375,22,1,4374,4375,96250,32,198,210,210,35,35
1,1,6560,6561,15,1,6560,6561,98415,47,437,1230,1230,205,205
2,1,6560,6561,15,1,6560,6561,98415,24,218,1230,1230,205,205
4,1,6560,6561,15,1,6560,6561,98415,12,109,1230,1230,205,205
1,1,5831,5832,17,1,5831,5832,99144,42,342,714,714,119,119
2,1,5831,5832,17,1,5831,5832,99144,21,171,714,714,119,119
3,1,5831,5832,17,1,5831,5832,99144,14,114,714,714,119,119
4,1,5831,5832,17,1,5831,5832,99144,11,85,714,714,119,119
12,1,5831,5832,17,1,5831,5832,99144,4,28,714,714,119,119
2,1,6655,6656,15,1,6655,6656,99840,24,221,1430,1430,715,715
1,1,14336,14337,7,1,14336,14337,100359,103,1234,2478,2478,413,413
3,1,14336,14337,7,1,14336,14337,100359,35,411,2478,2478,413,413
1,8192,8575,16767,6,8192,8575,16767,100602,120,1365,4830,4830,805,805
2,1,4374,4375,23,1,4374,4375,100625,16,95,210,210,35,35
3,1,4374,4375,23,1,4374,4375,100625,11,63,210,210,35,35
9,1,4374,4375,23,1,4374,4375,100625,4,21,210,210,35,35
1,1,2400,2401,42,1,2400,2401,100842,18,57,210,210,35,35
1,1,6859,6860,15,1,6859,6860,102900,50,457,1330,1330,665,665
5,1,8575,8576,12,1,8575,8576,102912,13,142,4690,4690,2345,2345
1,1,2400,2401,43,1,2400,2401,103243,18,55,210,210,35,35
1,1,6560,6561,16,1,6560,6561,104976,47,409,1230,1230,205,205
1,1,5831,5832,18,1,5831,5832,104976,42,323,714,714,119,119
1,1,4374,4375,24,1,4374,4375,105000,32,182,210,210,35,35
1,1,2400,2401,45,1,2400,2401,108045,18,53,210,210,35,35
2,1,2400,2401,45,1,2400,2401,108045,9,26,210,210,35,35
7,1,2400,2401,45,1,2400,2401,108045,3,7,210,210,35,35
1,1,4374,4375,25,1,4374,4375,109375,32,174,210,210,35,35
2,1,4374,4375,25,1,4374,4375,109375,16,87,210,210,35,35
4,1,4374,4375,25,1,4374,4375,109375,8,43,210,210,35,35
6,1,4374,4375,25,1,4374,4375,109375,6,29,210,210,35,35
7,1,4374,4375,25,1,4374,4375,109375,5,24,210,210,35,35
1,1,12167,12168,9,1,12167,12168,109512,87,1017,1794,1794,299,299
1,1,2400,2401,46,1,2400,2401,110446,18,52,210,210,35,35
1,1,5831,5832,19,1,5831,5832,110808,42,306,714,714,119,119
2,1,5831,5832,19,1,5831,5832,110808,21,153,714,714,119,119
1,1,3968,3969,28,1,3968,3969,111132,29,141,1302,1302,217,217
2,1,6560,6561,17,1,6560,6561,111537,24,192,1230,1230,205,205
2,1,2400,2401,47,1,2400,2401,112847,9,25,210,210,35,35
1,1,4374,4375,26,1,4374,4375,113750,32,168,210,210,35,35
5,1,4374,4375,26,1,4374,4375,113750,7,33,210,210,35,35
21,1,4374,4375,26,1,4374,4375,113750,2,8,210,210,35,35
1,1,14336,14337,8,1,14336,14337,114696,103,1180,2478,2478,413,413
3,1,5831,5832,20,1,5831,5832,116640,14,97,714,714,119,119
1,8192,8575,16767,7,8192,8575,16767,117369,120,1170,4830,4830,805,805
1,1,2400,2401,49,1,2400,2401,117649,18,48,210,210,35,35
4,1,2400,2401,49,1,2400,2401,117649,5,12,210,210,35,35
3,2401,9375,11776,10,2401,9375,11776,117760,29,80,4830,4830,805,805
1,1,59048,59049,2,1,59048,59049,118098,422,4814,4026,4026,671,671
1,1,4374,4375,27,1,4374,4375,118125,32,161,210,210,35,35
5,1,4374,4375,27,1,4374,4375,118125,7,32,210,210,35,35
1,13122,16807,29929,4,13122,16807,29929,119716,214,2429,7266,7266,1211,1211
1,5120,6859,11979,10,5120,6859,11979,119790,86,512,6270,6270,1045,1045
1,1,12167,12168,10,1,12167,12168,121680,87,982,1794,1794,299,299
1,1,2400,2401,51,1,2400,2401,122451,18,47,210,210,35,35
2,1,2400,2401,51,1,2400,2401,122451,9,23,210,210,35,35
1,1,5831,5832,21,1,5831,5832,122472,42,277,714,714,119,119
4,1,5831,5832,21,1,5831,5832,122472,11,69,714,714,119,119
1,1,4374,4375,28,1,4374,4375,122500,32,156,210,210,35,35
3,1,4374,4375,28,1,4374,4375,122500,11,52,210,210,35,35
23,1,4374,4375,28,1,4374,4375,122500,2,6,210,210,35,35
4,1,6560,6561,19,1,6560,6561,124659,12,86,1230,1230,205,205
7,1,2400,2401,52,1,2400,2401,124852,3,6,210,210,35,35
1,1,5831,5832,22,1,5831,5832,128304,42,264,714,714,119,119
1,1,14336,14337,9,1,14336,14337,129033,103,1134,2478,2478,413,413
7,1,14336,14337,9,1,14336,14337,129033,15,162,2478,2478,413,413
2,1,25920,25921,5,1,25920,25921,129605,93,1024,4830,4830,805,805
1,1,4374,4375,30,1,4374,4375,131250,32,145,210,210,35,35
23,1,4374,4375,30,1,4374,4375,131250,2,6,210,210,35,35
1,1,2400,2401,55,1,2400,2401,132055,18,43,210,210,35,35
5,1,2400,2401,56,1,2400,2401,134456,4,8,210,210,35,35
1,1,4374,4375,31,1,4374,4375,135625,32,141,210,210,35,35
2,3087,4913,8000,17,3087,4913,8000,136000,29,90,3570,3570,595,595
12,3087,4913,8000,17,3087,4913,8000,136000,5,15,3570,3570,595,595
1,1,2400,2401,57,1,2400,2401,136857,18,42,210,210,35,35
2,1,2400,2401,57,1,2400,2401,136857,9,21,210,210,35,35
1,1,10647,10648,13,1,10647,10648,138424,77,818,6006,6006,1001,1001
1,8192,19683,27875,5,8192,19683,27875,139375,200,1638,6690,6690,1115,1115
3,8192,19683,27875,5,8192,19683,27875,139375,67,546,6690,6690,1115,1115
1,1,5831,5832,24,1,5831,5832,139968,42,242,714,714,119,119
5,1,4374,4375,32,1,4374,4375,140000,7,27,210,210,35,35
1,6561,22000,28561,5,6561,22000,28561,142805,205,1312,4290,4290,715,715
1,1,14336,14337,10,1,14336,14337,143370,103,1095,2478,2478,413,413
3,1,14336,14337,10,1,14336,14337,143370,35,365,2478,2478,413,413
1,1,2400,2401,60,1,2400,2401,144060,18,39,210,210,35,35
1,1,4374,4375,33,1,4374,4375,144375,32,132,210,210,35,35
1,1,12167,12168,12,1,12167,12168,146016,87,924,1794,1794,299,299
1,1,6655,6656,22,1,6655,6656,146432,48,302,1430,1430,715,715
1,1,2400,2401,61,1,2400,2401,146461,18,39,210,210,35,35
1,1,9800,9801,15,1,9800,9801,147015,71,653,2310,2310,385,385
1,1,4374,4375,34,1,4374,4375,148750,32,128,210,210,35,35
1,1,10647,10648,14,1,10647,10648,149072,77,760,6006,6006,1001,1001
2,8192,8575,16767,9,8192,8575,16767,150903,60,455,4830,4830,805,805
1,1,6655,6656,23,1,6655,6656,153088,48,289,1430,1430,715,715
2,1,4374,4375,35,1,4374,4375,153125,16,62,210,210,35,35
1,1,10240,10241,15,1,10240,10241,153615,74,682,14630,14630,7315,7315
1,1,25920,25921,6,1,25920,25921,155526,186,1928,4830,4830,805,805
2,1,2400,2401,65,1,2400,2401,156065,9,18,210,210,35,35
1,1,15624,15625,10,1,15624,15625,156250,112,1160,6510,6510,1085,1085
1,6877,8748,15625,10,6877,8748,15625,156250,112,687,8970,8970,1495,1495
3,1,15624,15625,10,1,15624,15625,156250,38,386,6510,6510,1085,1085
1,1,4374,4375,36,1,4374,4375,157500,32,121,210,210,35,35
1,1,12167,12168,13,1,12167,12168,158184,87,899,1794,1794,299,299
3,1,12167,12168,13,1,12167,12168,158184,29,299,1794,1794,299,299
9,1,12167,12168,13,1,12167,12168,158184,10,99,1794,1794,299,299
1,1,2400,2401,66,1,2400,2401,158466,18,36,210,210,35,35
1,1,4374,4375,37,1,4374,4375,161875,32,118,210,210,35,35
14,1,2400,2401,69,1,2400,2401,165669,2,2,210,210,35,35
1,8192,19683,27875,6,8192,19683,27875,167250,200,1365,6690,6690,1115,1115
3,8192,8575,16767,10,8192,8575,16767,167670,40,273,4830,4830,805,805
1,1,2400,2401,70,1,2400,2401,168070,18,34,210,210,35,35
12,1,5831,5832,29,1,5831,5832,169128,4,16,714,714,119,119
1,1,12167,12168,14,1,12167,12168,170352,87,868,1794,1794,299,299
1,7168,78125,85293,2,7168,78125,85293,170586,610,3584,2730,2730,455,455
1,1,4374,4375,39,1,4374,4375,170625,32,112,210,210,35,35
4,1,4374,4375,39,1,4374,4375,170625,8,28,210,210,35,35
7,1,4374,4375,39,1,4374,4375,170625,5,16,210,210,35,35
1,6561,22000,28561,6,6561,22000,28561,171366,205,1093,4290,4290,715,715
1,1,14336,14337,12,1,14336,14337,172044,103,1031,2478,2478,413,413
1,1,4374,4375,40,1,4374,4375,175000,32,109,210,210,35,35
1,2401,9375,11776,15,2401,9375,11776,176640,85,160,4830,4830,805,805
1,1,59048,59049,3,1,59048,59049,177147,422,4205,4026,4026,671,671
1,1,2400,2401,75,1,2400,2401,180075,18,31,210,210,35,35
2,1,2400,2401,75,1,2400,2401,180075,9,15,210,210,35,35
1,1,25920,25921,7,1,25920,25921,181447,186,1831,4830,4830,805,805
1,1,2400,2401,76,1,2400,2401,182476,18,31,210,210,35,35
1,1,12167,12168,15,1,12167,12168,182520,87,810,1794,1794,299,299
1,6561,24064,30625,6,6561,24064,30625,183750,219,1093,9870,9870,1645,1645
1,1,4374,4375,42,1,4374,4375,183750,32,104,210,210,35,35
5,1,4374,4375,42,1,4374,4375,183750,7,20,210,210,35,35
2,1,2400,2401,77,1,2400,2401,184877,9,15,210,210,35,35
1,1,14336,14337,13,1,14336,14337,186381,103,1003,2478,2478,413,413
1,1936,13689,15625,12,1936,13689,15625,187500,112,161,4290,4290,715,715
1,1,4374,4375,43,1,4374,4375,188125,32,101,210,210,35,35
1,1,2400,2401,81,1,2400,2401,194481,18,29,210,210,35,35
1,1,12167,12168,16,1,12167,12168,194688,87,760,1794,1794,299,299
3,1,12167,12168,16,1,12167,12168,194688,29,253,1794,1794,299,299
1,1,4374,4375,45,1,4374,4375,196875,32,97,210,210,35,35
1,1,28125,28126,7,1,28125,28126,196882,201,1933,8610,8610,1435,1435
1,1,5831,5832,34,1,5831,5832,198288,42,171,714,714,119,119
1,1,4374,4375,46,1,4374,4375,201250,32,95,210,210,35,35
7,1,4374,4375,46,1,4374,4375,201250,5,13,210,210,35,35
1,1,2400,2401,85,1,2400,2401,204085,18,28,210,210,35,35
5,1,4374,4375,47,1,4374,4375,205625,7,18,210,210,35,35
1,1,9800,9801,21,1,9800,9801,205821,71,466,2310,2310,385,385
1,13122,16807,29929,7,13122,16807,29929,209503,214,1874,7266,7266,1211,1211
4,13122,16807,29929,7,13122,16807,29929,209503,54,468,7266,7266,1211,1211
1,1,4374,4375,48,1,4374,4375,210000,32,91,210,210,35,35
1,1,4374,4375,49,1,4374,4375,214375,32,89,210,210,35,35
4,1,4374,4375,49,1,4374,4375,214375,8,22,210,210,35,35
1,1,14336,14337,15,1,14336,14337,215055,103,955,2478,2478,413,413
1,1,10240,10241,21,1,10240,10241,215061,74,487,14630,14630,7315,7315
1,1,71874,71875,3,1,71874,71875,215625,514,4794,7590,7590,1265,1265
1,14297,16807,31104,7,14297,16807,31104,217728,223,2042,20706,20706,3451,3451
1,8019,8788,16807,13,8019,8788,16807,218491,121,616,6006,6006,1001,1001
9,1,15624,15625,14,1,15624,15625,218750,13,115,6510,6510,1085,1085
1,1,12167,12168,18,1,12167,12168,219024,87,675,1794,1794,299,299
1,1,6655,6656,33,1,6655,6656,219648,48,201,1430,1430,715,715
5,1,6655,6656,33,1,6655,6656,219648,10,40,1430,1430,715,715
1,1,4374,4375,51,1,4374,4375,223125,32,85,210,210,35,35
2,1,4374,4375,51,1,4374,4375,223125,16,42,210,210,35,35
1,1,28125,28126,8,1,28125,28126,225008,201,1849,8610,8610,1435,1435
1,1,6655,6656,34,1,6655,6656,226304,48,195,1430,1430,715,715
1,1,4374,4375,52,1,4374,4375,227500,32,84,210,210,35,35
1,1,14336,14337,16,1,14336,14337,229392,103,895,2478,2478,413,413
7,1,14336,14337,16,1,14336,14337,229392,15,127,2478,2478,413,413
1,1,12167,12168,19,1,12167,12168,231192,87,640,1794,1794,299,299
2,1,25920,25921,9,1,25920,25921,233289,93,842,4830,4830,805,805
4,1,25920,25921,9,1,25920,25921,233289,47,421,4830,4830,805,805
1,1,15624,15625,15,1,15624,15625,234375,112,1013,6510,6510,1085,1085
2,1,15624,15625,15,1,15624,15625,234375,56,506,6510,6510,1085,1085
7,1,15624,15625,15,1,15624,15625,234375,16,144,6510,6510,1085,1085
5,8192,8575,16767,14,8192,8575,16767,234738,24,117,4830,4830,805,805
1,1,59048,59049,4,1,59048,59049,236196,422,3821,4026,4026,671,671
1,1,4374,4375,54,1,4374,4375,236250,32,80,210,210,35,35
2,6591,9409,16000,15,6591,9409,16000,240000,58,219,37830,37830,6305,6305
1,1,4374,4375,55,1,4374,4375,240625,32,79,210,210,35,35
5,1,4374,4375,56,1,4374,4375,245000,7,15,210,210,35,35
1,1,4374,4375,57,1,4374,4375,249375,32,76,210,210,35,35
5,1,4374,4375,57,1,4374,4375,249375,7,15,210,210,35,35
1,1,15624,15625,16,1,15624,15625,250000,112,976,6510,6510,1085,1085
1,1,83520,83521,3,1,83520,83521,250563,597,5299,14790,14790,2465,2465
1,8192,8575,16767,15,8192,8575,16767,251505,120,546,4830,4830,805,805
5,1,6655,6656,38,1,6655,6656,252928,10,35,1430,1430,715,715
1,1,4374,4375,58,1,4374,4375,253750,32,75,210,210,35,35
1,7168,78125,85293,3,7168,78125,85293,255879,610,2389,2730,2730,455,455
1,1,25920,25921,10,1,25920,25921,259210,186,1626,4830,4830,805,805
1,1,4374,4375,60,1,4374,4375,262500,32,72,210,210,35,35
7,1,4374,4375,60,1,4374,4375,262500,5,10,210,210,35,35
2,1,15624,15625,17,1,15624,15625,265625,56,459,6510,6510,1085,1085
1,1,4374,4375,61,1,4374,4375,266875,32,71,210,210,35,35
9,1,12167,12168,22,1,12167,12168,267696,10,61,1794,1794,299,299
2,13122,16807,29929,9,13122,16807,29929,269361,107,729,7266,7266,1211,1211
5,1,4374,4375,62,1,4374,4375,271250,7,14,210,210,35,35
1,1,4374,4375,63,1,4374,4375,275625,32,69,210,210,35,35
2,1,4374,4375,63,1,4374,4375,275625,16,34,210,210,35,35
4,1,4374,4375,63,1,4374,4375,275625,8,17,210,210,35,35
1,1,4374,4375,64,1,4374,4375,280000,32,68,210,210,35,35
2,1,4374,4375,65,1,4374,4375,284375,16,33,210,210,35,35
1,1,10647,10648,27,1,10647,10648,287496,77,394,6006,6006,1001,1001
1,1,71874,71875,4,1,71874,71875,287500,514,4356,7590,7590,1265,1265
1,1,41552,41553,7,1,41552,41553,290871,297,2508,42294,42294,7049,7049
1,1,6655,6656,44,1,6655,6656,292864,48,151,1430,1430,715,715
13,1,6655,6656,44,1,6655,6656,292864,4,11,1430,1430,715,715
4,1,4374,4375,67,1,4374,4375,293125,8,16,210,210,35,35
2,1,59535,59536,5,1,59535,59536,297680,213,1783,12810,12810,2135,2135
1,1,6655,6656,45,1,6655,6656,299520,48,147,1430,1430,715,715
20,1,4374,4375,69,1,4374,4375,301875,2,3,210,210,35,35
1,1,4374,4375,70,1,4374,4375,306250,32,62,210,210,35,35
1,1,12167,12168,26,1,12167,12168,316368,87,467,1794,1794,299,299
3,1,12167,12168,26,1,12167,12168,316368,29,155,1794,1794,299,299
1,1,15624,15625,21,1,15624,15625,328125,112,743,6510,6510,1085,1085
1,1,12167,12168,27,1,12167,12168,328536,87,450,1794,1794,299,299
2,1,4374,4375,77,1,4374,4375,336875,16,28,210,210,35,35
1,7168,78125,85293,4,7168,78125,85293,341172,610,1792,2730,2730,455,455
1,1,4374,4375,78,1,4374,4375,341250,32,56,210,210,35,35
7,1,10647,10648,33,1,10647,10648,351384,11,46,6006,6006,1001,1001
1,8192,8575,16767,21,8192,8575,16767,352107,120,390,4830,4830,805,805
3,1,12167,12168,29,1,12167,12168,352872,29,139,1794,1794,299,299
1,28561,89088,117649,3,28561,89088,117649,352947,841,6659,15834,15834,2639,2639
1,1,59048,59049,6,1,59048,59049,354294,422,3337,4026,4026,671,671
4,1,4374,4375,81,1,4374,4375,354375,8,13,210,210,35,35
1,1,59535,59536,6,1,59535,59536,357216,426,3356,12810,12810,2135,2135
1,1,71874,71875,5,1,71874,71875,359375,514,4043,7590,7590,1265,1265
