U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
12,5003,5003,5003,0,2,1,5003,1872,5003,6875
12,5020,2,1,0,1,1,5020,7776,5,7781
12,5108,250,625,0,1,1,5108,4704,625,5329
12,5110,250,625,0,1,1,5110,4704,625,5329
12,5115,17,17,0,1,1,5115,9300,17,9317
12,5115,155,155,0,1,1,5115,5676,155,5831
12,5115,473,473,0,1,1,5115,11532,473,12005
12,5115,4913,4913,0,1,1,5115,3612,4913,8525
12,5135,467,467,0,1,1,5135,23700,467,24167
12,5135,1331,1331,0,1,1,5135,4740,1331,6071
12,5160,58,29,0,1,1,5160,7776,145,7921
12,5185,61,61,0,1,1,5185,28500,61,28561
12,5213,149,149,0,1,1,5213,19500,149,19649
12,5250,202,101,0,1,1,5250,7776,505,8281
12,5353,125,25,0,1,1,5353,47628,125,47753
12,5423,17,17,0,1,1,5423,9300,17,9317
12,5423,319,319,0,3,1,5423,8640,319,8959
12,5473,13,13,0,2,1,5473,10512,13,10525
12,5495,23,23,0,1,1,5495,37500,23,37523
