U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
2,90003,4737,0,0,1,1,90003,32768,71055,103823
2,90013,17,0,0,1,1,90013,400950,17,400967
2,90013,27,0,0,1,1,90013,432344,81,432425
2,90013,167,0,0,1,1,90013,240570,167,240737
2,90013,353,0,0,1,1,90013,2254714,353,2255067
2,90013,567,0,0,1,1,90013,613558,567,614125
2,90013,2187,0,0,1,1,90013,1765000,6561,1771561
2,90013,6001,0,0,1,1,90013,175616,54009,229625
2,90013,6561,0,0,1,1,90013,825314,6561,831875
2,90013,22253,0,0,1,1,90013,21376,155771,177147
2,90013,58951,0,0,1,1,90013,33614,58951,92565
2,90055,1,0,0,2,1,90055,137780,1,137781
2,90055,27,0,0,1,1,90055,116200,81,116281
2,90055,83,0,0,8,1,90055,160000,83,160083
2,90055,775,0,0,1,1,90055,453014,775,453789
2,90055,1331,0,0,1,1,90055,136450,1331,137781
2,90055,41503,0,0,1,1,90055,31104,290521,321625
2,90055,57309,0,0,1,1,90055,156250,57309,213559
2,90055,84909,0,0,1,1,90055,2048,933999,936047
2,90093,80919,0,0,1,1,90093,156250,80919,237169
2,90103,1755,0,0,1,1,90103,192224,8775,200999
2,90115,1083,0,0,1,1,90115,167042,1083,168125
2,90115,6725,0,0,1,1,90115,1189728,33625,1223353
2,90123,2401,0,0,1,1,90123,328050,2401,330451
2,90145,1,0,0,4,1,90145,326160,1,326161
2,90153,1,0,0,1,1,90153,101250,1,101251
2,90153,1,0,0,4,1,90153,531440,1,531441
2,90153,3,0,0,1,1,90153,123808,15,123823
2,90153,361,0,0,1,1,90153,138554,361,138915
2,90153,675,0,0,1,1,90153,2084278,675,2084953
2,90153,1701,0,0,1,1,90153,2402816,15309,2418125
2,90153,10125,0,0,1,1,90153,512,91125,91637
2,90153,25725,0,0,1,1,90153,1696,128625,130321
2,90153,27075,0,0,1,1,90153,32768,406125,438893
2,90153,28899,0,0,1,1,90153,30952,86697,117649
2,90153,35721,0,0,1,1,90153,410114,35721,445835
2,90153,41067,0,0,1,1,90153,14440,123201,137641
2,90153,45927,0,0,1,1,90153,11096,137781,148877
2,90183,11763,0,0,1,1,90183,97336,35289,132625
2,90193,47,0,0,4,1,90193,250000,47,250047
2,90193,4295,0,0,1,1,90193,87514,4295,91809
2,90193,21475,0,0,1,1,90193,5472,107375,112847
2,90193,30625,0,0,1,1,90193,69984,153125,223109
2,90223,2187,0,0,1,1,90223,625000,6561,631561
2,90283,137,0,0,8,1,90283,160000,137,160137
2,90285,2315,0,0,1,1,90285,73728,30095,103823
2,90285,6945,0,0,2,1,90285,262144,62505,324649
2,90285,19683,0,0,1,1,90285,5408,98415,103823
2,90285,83521,0,0,1,1,90285,204800,1085773,1290573
2,90319,32761,0,0,1,1,90319,55296,360371,415667
2,90321,11,0,0,8,1,90321,178432,11,178443
2,90321,17,0,0,8,1,90321,430336,17,430353
2,90321,41,0,0,1,1,90321,131072,697,131769
2,90321,35937,0,0,1,1,90321,136,107811,107947
2,90321,50669,0,0,1,1,90321,512,456021,456533
2,90343,3993,0,0,1,1,90343,649216,43923,693139
2,90345,60287,0,0,1,1,90345,32,301435,301467
2,90363,1,0,0,2,1,90363,124124,1,124125
2,90363,3,0,0,1,1,90363,1890616,9,1890625
2,90363,5,0,0,1,1,90363,101866,5,101871
2,90363,13,0,0,1,1,90363,151250,13,151263
2,90363,15,0,0,1,1,90363,148862,15,148877
2,90363,81,0,0,1,1,90363,331250,81,331331
2,90363,91,0,0,1,1,90363,1771470,91,1771561
2,90363,91,0,0,4,1,90363,318000,91,318091
2,90363,279,0,0,1,1,90363,265000,837,265837
2,90363,331,0,0,2,1,90363,165044,331,165375
2,90363,331,0,0,8,1,90363,277760,331,278091
2,90363,1573,0,0,1,1,90363,328050,1573,329623
2,90363,2401,0,0,1,1,90363,140800,21609,162409
2,90363,2883,0,0,1,1,90363,331240,8649,339889
2,90363,3375,0,0,1,1,90363,117128,10125,127253
2,90363,3875,0,0,1,1,90363,145002,3875,148877
2,90363,4805,0,0,1,1,90363,85536,24025,109561
2,90363,6413,0,0,1,1,90363,100750,6413,107163
2,90363,6561,0,0,1,1,90363,1272530,6561,1279091
