U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
2,126540,10,0,0,2,1,126540,658464,25,658489
2,126540,20,0,0,4,1,126540,658464,25,658489
2,126553,1,0,0,2,1,126553,1409804,1,1409805
2,126553,1,0,0,4,1,126553,421200,1,421201
2,126553,13,0,0,1,1,126553,151250,13,151263
2,126553,91,0,0,1,1,126553,1771470,91,1771561
2,126553,121,0,0,1,1,126553,448574,121,448695
2,126553,243,0,0,1,1,126553,819896,729,820625
2,126553,405,0,0,1,1,126553,204974,405,205379
2,126553,1053,0,0,1,1,126553,258560,9477,268037
2,126553,1313,0,0,1,1,126553,870250,1313,871563
2,126553,4475,0,0,1,1,126553,410758,4475,415233
2,126553,5775,0,0,1,1,126553,410758,5775,416533
2,126553,8281,0,0,1,1,126553,122210,8281,130491
2,126553,10201,0,0,1,1,126553,2883690,10201,2893891
2,126553,14641,0,0,1,1,126553,845824,161051,1006875
2,126553,19175,0,0,1,1,126553,51712,172575,224287
2,126553,20237,0,0,1,1,126553,118638,20237,138875
2,126553,30603,0,0,1,1,126553,78760,91809,170569
2,126553,30603,0,0,1,1,126553,134456,91809,226265
2,126553,33453,0,0,1,1,126553,80000,234171,314171
2,126553,43855,0,0,1,1,126553,5664,219275,224939
2,126553,43875,0,0,1,1,126553,3232,219375,222607
2,126553,78125,0,0,1,1,126553,1246198,78125,1324323
2,126553,91125,0,0,1,1,126553,18616,273375,291991
2,126553,103929,0,0,1,1,126553,57122,103929,161051
2,126555,1,0,0,4,1,126555,421200,1,421201
2,126555,11,0,0,1,1,126555,253114,11,253125
2,126555,55,0,0,4,1,126555,255824,55,255879
2,126555,98373,0,0,1,1,126555,31250,98373,129623
2,126565,1,0,0,2,1,126565,142884,1,142885
2,126565,13401,0,0,1,1,126565,175616,120609,296225
2,126565,75939,0,0,1,1,126565,1647086,75939,1723025
2,126585,1,0,0,1,1,126585,3218750,1,3218751
2,126633,1,0,0,1,1,126633,912950,1,912951
2,126633,1,0,0,4,1,126633,419120,1,419121
2,126633,9,0,0,1,1,126633,211250,9,211259
2,126633,31,0,0,1,1,126633,948506,31,948537
2,126633,31,0,0,1,1,126633,1542294,31,1542325
2,126633,191,0,0,1,1,126633,531250,191,531441
2,126633,361,0,0,1,1,126633,159014,361,159375
2,126633,2223,0,0,1,1,126633,524288,42237,566525
2,126633,5301,0,0,1,1,126633,156250,5301,161551
2,126633,20577,0,0,1,1,126633,110398,20577,130975
2,126633,28125,0,0,1,1,126633,71672,84375,156047
2,126633,45125,0,0,1,1,126633,12896,225625,238521
2,126633,63869,0,0,1,1,126633,204250,63869,268119
2,126633,87723,0,0,1,1,126633,1167392,438615,1606007
2,126633,89167,0,0,1,1,126633,555458,89167,644625
2,126633,117325,0,0,1,1,126633,1451358,117325,1568683
2,126633,120185,0,0,1,1,126633,9248,600925,610173
2,126663,42221,0,0,1,1,126663,129654,42221,171875
2,126685,1331,0,0,1,1,126685,328050,1331,329381
2,126723,53,0,0,2,1,126723,187500,53,187553
2,126733,2187,0,0,1,1,126733,1013864,6561,1020425
2,126735,1,0,0,2,1,126735,336140,1,336141
2,126735,3,0,0,4,1,126735,155984,3,155987
2,126735,585,0,0,1,1,126735,2809856,7605,2817461
2,126735,923,0,0,1,1,126735,139264,11999,151263
2,126735,2401,0,0,1,1,126735,311968,12005,323973
2,126735,7371,0,0,1,1,126735,311968,36855,348823
2,126735,19683,0,0,1,1,126735,89600,177147,266747
2,126735,28561,0,0,1,1,126735,443750,28561,472311
2,126735,48841,0,0,1,1,126735,8192,634933,643125
2,126735,78125,0,0,1,1,126735,303264,390625,693889
2,126735,97767,0,0,1,1,126735,77992,293301,371293
2,126753,12167,0,0,1,1,126753,365958,12167,378125
2,126753,42849,0,0,1,1,126753,8032,214245,222277
2,126763,66339,0,0,1,1,126763,25472,464373,489845
2,126775,1,0,0,1,1,126775,790614,1,790615
2,126861,16807,0,0,1,1,126861,12672,117649,130321
2,126873,1,0,0,2,1,126873,777924,1,777925
2,126873,16807,0,0,1,1,126873,3982976,117649,4100625
2,126885,1331,0,0,1,1,126885,354294,1331,355625
2,126903,1,0,0,8,1,126903,186624,1,186625
2,126943,27,0,0,1,1,126943,1015544,81,1015625
2,126943,126943,0,0,1,1,126943,31250,126943,158193
2,126945,1,0,0,2,1,126945,173900,1,173901
2,126945,1,0,0,2,1,126945,1634660,1,1634661
2,126945,1,0,0,4,1,126945,531440,1,531441
2,126945,31,0,0,1,1,126945,218750,31,218781
2,126945,37,0,0,1,1,126945,293750,37,293787
2,126945,49,0,0,1,1,126945,204800,637,205437
2,126945,73,0,0,1,1,126945,329550,73,329623
2,126945,185,0,0,1,1,126945,207646,185,207831
2,126945,235,0,0,1,1,126945,911754,235,911989
2,126945,343,0,0,1,1,126945,196830,343,197173
2,126945,961,0,0,1,1,126945,518154,961,519115
2,126945,1225,0,0,1,1,126945,386058,1225,387283
2,126945,2209,0,0,1,1,126945,401408,28717,430125
2,126945,2701,0,0,1,1,126945,136214,2701,138915
2,126945,5329,0,0,1,1,126945,316386,5329,321715
2,126945,6125,0,0,1,1,126945,287766,6125,293891
2,126945,10075,0,0,1,1,126945,8192,130975,139167
2,126945,10125,0,0,1,1,126945,399776,50625,450401
2,126945,10935,0,0,1,1,126945,235298,10935,246233
2,126945,11421,0,0,1,1,126945,2806120,34263,2840383
2,126945,15463,0,0,1,1,126945,2097152,324723,2421875
2,126945,21609,0,0,1,1,126945,99200,151263,250463
2,126945,28561,0,0,1,1,126945,185814,28561,214375
2,126945,28561,0,0,1,1,126945,271250,28561,299811
2,126945,30625,0,0,1,1,126945,4169906,30625,4200531
2,126945,34225,0,0,1,1,126945,109792,171125,280917
2,126945,47089,0,0,1,1,126945,322514,47089,369603
2,126945,47151,0,0,1,1,126945,2728448,424359,3152807
2,126945,87885,0,0,1,1,126945,162578,87885,250463
2,126945,89373,0,0,1,1,126945,1427296,446865,1874161
2,126945,96875,0,0,1,1,126945,273312,484375,757687
2,126945,107163,0,0,1,1,126945,167462,107163,274625
2,126945,117649,0,0,1,1,126945,34310,117649,151959
2,126945,118017,0,0,1,1,126945,520,354051,354571
2,126973,119,0,0,4,1,126973,234256,119,234375
2,126973,4913,0,0,1,1,126973,3538944,83521,3622465
2,126973,19683,0,0,1,1,126973,167042,19683,186725
2,126973,22627,0,0,1,1,126973,165888,248897,414785
2,126973,33271,0,0,1,1,126973,16000,232897,248897
2,126973,42777,0,0,1,1,126973,5632,384993,390625
2,126975,118827,0,0,1,1,126975,13544,356481,370025
