U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
2,102025,3375,0,0,1,1,102025,117128,10125,127253
2,102025,21875,0,0,1,1,102025,114048,153125,267173
2,102025,25205,0,0,1,1,102025,11616,126025,137641
2,102025,44891,0,0,1,1,102025,9088,314237,323325
2,102049,131,0,0,1,1,102049,397822,131,397953
2,102049,243,0,0,1,1,102049,302872,729,303601
2,102049,73167,0,0,1,1,102049,57154,73167,130321
2,102051,1037,0,0,1,1,102051,199962,1037,200999
2,102051,24389,0,0,1,1,102051,126514,24389,150903
2,102063,2617,0,0,2,1,102063,241380,2617,243997
2,102067,2401,0,0,1,1,102067,2097152,50421,2147573
2,102073,991,0,0,1,1,102073,530450,991,531441
2,102085,3375,0,0,1,1,102085,622592,50625,673217
2,102123,1,0,0,4,1,102123,117648,1,117649
2,102163,19321,0,0,1,1,102163,128,135247,135375
2,102165,139,0,0,2,1,102165,2249728,695,2250423
2,102165,695,0,0,1,1,102165,312192,4865,317057
2,102165,52403,0,0,1,1,102165,384,366821,367205
2,102165,78125,0,0,1,1,102165,57122,78125,135247
2,102165,101331,0,0,1,1,102165,3794,101331,105125
2,102223,1,0,0,2,1,102223,925100,1,925101
2,102223,68121,0,0,1,1,102223,92930,68121,161051
2,102232,2,0,0,2,1,102232,1522664,3,1522667
2,102235,125,0,0,1,1,102235,117024,625,117649
2,102235,6615,0,0,1,1,102235,129032,19845,148877
2,102235,15625,0,0,1,1,102235,128,109375,109503
2,102256,166,0,0,2,1,102256,116736,913,117649
2,102256,332,0,0,4,1,102256,116736,913,117649
2,102256,664,0,0,8,1,102256,116736,913,117649
2,102265,2673,0,0,1,1,102265,92672,24057,116729
2,102275,3125,0,0,1,1,102275,260642,3125,263767
2,102289,1,0,0,1,1,102289,107162,1,107163
2,102289,1331,0,0,1,1,102289,130186,1331,131517
2,102295,11163,0,0,1,1,102295,1845302,11163,1856465
2,102295,28561,0,0,1,1,102295,159014,28561,187575
2,102303,243,0,0,1,1,102303,116920,729,117649
2,102303,15625,0,0,1,1,102303,477414,15625,493039
2,102303,50653,0,0,1,1,102303,93750,50653,144403
2,102333,3125,0,0,1,1,102333,130438,3125,133563
2,102333,42777,0,0,1,1,102333,3544,128331,131875
2,102333,42777,0,0,1,1,102333,5632,384993,390625
2,102333,55375,0,0,1,1,102333,581042,55375,636417
2,102355,1861,0,0,1,1,102355,332750,1861,334611
2,102363,25,0,0,1,1,102363,1594298,25,1594323
2,102373,15625,0,0,1,1,102373,128,109375,109503
2,102375,5,0,0,1,1,102375,155722,5,155727
2,102375,13,0,0,1,1,102375,151250,13,151263
2,102375,91,0,0,1,1,102375,1771470,91,1771561
2,102375,1589,0,0,1,1,102375,237952,11123,249075
2,102375,6561,0,0,1,1,102375,146410,6561,152971
2,102375,21875,0,0,1,1,102375,11616,109375,120991
2,102375,26411,0,0,1,1,102375,5248,184877,190125
2,102375,28561,0,0,1,1,102375,604274,28561,632835
2,102375,59535,0,0,1,1,102375,5248,416745,421993
2,102375,78125,0,0,1,1,102375,5248,546875,552123
2,102375,84375,0,0,1,1,102375,12712,253125,265837
2,102375,88209,0,0,1,1,102375,13448,264627,278075
2,102391,317,0,0,1,1,102391,233206,317,233523
2,102408,502,0,0,2,1,102408,170368,1757,172125
2,102408,502,0,0,4,1,102408,442368,1757,444125
2,102408,1004,0,0,4,1,102408,170368,1757,172125
2,102408,1004,0,0,8,1,102408,442368,1757,444125
2,102453,13,0,0,2,1,102453,220100,13,220113
2,102453,1053,0,0,1,1,102453,715822,1053,716875
2,102463,81,0,0,1,1,102463,512072,243,512315
2,102465,5,0,0,1,1,102465,150898,5,150903
2,102465,23,0,0,1,1,102465,436810,23,436833
2,102465,27,0,0,2,1,102465,123904,135,124039
