U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
4,20005,1125,0,0,1,1,20005,27436,1125,28561
4,20007,121,0,0,1,1,20007,148716,121,148837
4,20007,1819,0,0,1,1,20007,23104,5457,28561
4,20020,26,0,0,1,1,20020,25088,117,25205
4,20020,52,0,0,2,1,20020,25088,117,25205
4,20020,104,0,0,4,1,20020,25088,117,25205
4,20020,198,0,0,1,1,20020,40328,297,40625
4,20020,338,0,0,1,1,20020,184032,845,184877
4,20020,486,0,0,1,1,20020,27832,729,28561
4,20020,686,0,0,1,1,20020,18048,2401,20449
4,20020,1278,0,0,1,1,20020,19208,1917,21125
4,20020,1350,0,0,1,1,20020,18424,2025,20449
4,20020,1458,0,0,1,1,20020,24064,6561,30625
4,20020,3250,0,0,1,1,20020,54432,8125,62557
4,20020,13182,0,0,1,1,20020,9088,46137,55225
4,20020,13254,0,0,1,1,20020,568,19881,20449
4,20020,13310,0,0,1,1,20020,69984,33275,103259
4,20020,17182,0,0,1,1,20020,5408,42955,48363
4,20043,17,0,0,4,1,20043,62208,17,62225
4,20043,131,0,0,1,1,20043,26244,131,26375
4,20043,867,0,0,1,1,20043,41920,2601,44521
4,20053,21,0,0,1,1,20053,36460,21,36481
4,20062,5346,0,0,1,1,20062,19208,8019,27227
4,20083,1,0,0,1,1,20083,48924,1,48925
4,20083,1,0,0,2,1,20083,22800,1,22801
4,20083,1125,0,0,1,1,20083,27436,1125,28561
4,20083,1235,0,0,1,1,20083,16384,8645,25029
4,20083,15625,0,0,1,1,20083,7168,78125,85293
4,20083,19683,0,0,1,1,20083,17500,19683,37183
4,20085,9477,0,0,1,1,20085,156148,9477,165625
4,20095,2625,0,0,1,1,20095,11264,13125,24389
4,20109,1,0,0,1,1,20109,31212,1,31213
4,20125,25,0,0,1,1,20125,50176,125,50301
4,20148,18,0,0,1,1,20148,213160,27,213187
4,20153,841,0,0,1,1,20153,77284,841,78125
4,20155,841,0,0,1,1,20155,77284,841,78125
4,20163,11,0,0,1,1,20163,189540,11,189551
4,20163,423,0,0,1,1,20163,43940,423,44363
4,20163,729,0,0,1,1,20163,51700,729,52429
4,20163,4225,0,0,1,1,20163,22748,4225,26973
4,20193,125,0,0,1,1,20193,27648,625,28273
4,20200,2,0,0,2,1,20200,84032,3,84035
4,20200,26,0,0,1,1,20200,24576,169,24745
4,20200,250,0,0,1,1,20200,32768,1875,34643
4,20200,486,0,0,1,1,20200,29896,729,30625
4,20215,13,0,0,1,1,20215,85836,13,85849
4,20223,107,0,0,2,1,20223,64720,107,64827
4,20230,2,0,0,1,1,20230,175616,9,175625
4,20230,4,0,0,2,1,20230,175616,9,175625
4,20235,413,0,0,1,1,20235,20164,413,20577
4,20235,3125,0,0,1,1,20235,318364,3125,321489
4,20235,6859,0,0,1,1,20235,3776,20577,24353
4,20238,2,0,0,1,1,20238,64000,9,64009
4,20238,4,0,0,2,1,20238,64000,9,64009
4,20238,8,0,0,4,1,20238,64000,9,64009
4,20251,7,0,0,2,1,20251,21296,7,21303
4,20263,25,0,0,1,1,20263,50176,125,50301
4,20263,81,0,0,1,1,20263,21952,243,22195
4,20263,7245,0,0,1,1,20263,1024,36225,37249
4,20263,14283,0,0,1,1,20263,320,42849,43169
4,20265,9261,0,0,1,1,20265,19300,9261,28561
4,20265,15625,0,0,1,1,20265,7168,78125,85293
4,20271,29,0,0,1,1,20271,22572,29,22601
4,20273,811,0,0,1,1,20273,58564,811,59375
4,20293,125,0,0,1,1,20293,68796,125,68921
4,20293,585,0,0,1,1,20293,293888,2925,296813
4,20293,1323,0,0,1,1,20293,45760,3969,49729
4,20293,2899,0,0,4,1,20293,19200,2899,22099
4,20293,3125,0,0,1,1,20293,47068,3125,50193
4,20293,3731,0,0,1,1,20293,62500,3731,66231
4,20293,8125,0,0,1,1,20293,260876,8125,269001
4,20293,8281,0,0,1,1,20293,19844,8281,28125
4,20293,8697,0,0,1,1,20293,320,26091,26411
4,20293,15625,0,0,1,1,20293,7168,78125,85293
4,20293,16605,0,0,1,1,20293,33124,16605,49729
4,20298,1990,0,0,1,1,20298,131072,16915,147987
4,20298,2030,0,0,1,1,20298,76416,7105,83521
4,20298,19894,0,0,1,1,20298,7776,49735,57511
4,20304,13254,0,0,1,1,20304,568,19881,20449
4,20328,10,0,0,1,1,20328,184832,45,184877
4,20328,2178,0,0,1,1,20328,293608,3267,296875
4,20328,8470,0,0,1,1,20328,512,38115,38627
4,20328,13750,0,0,1,1,20328,11552,34375,45927
4,20330,38,0,0,2,1,20330,23552,95,23647
4,20330,76,0,0,4,1,20330,23552,95,23647
4,20335,1,0,0,1,1,20335,137780,1,137781
4,20365,19683,0,0,1,1,20365,106580,19683,126263
4,20368,7638,0,0,1,1,20368,49664,34371,84035
4,20380,12482,0,0,1,1,20380,8152,18723,26875
4,20383,327,0,0,1,1,20383,200000,981,200981
4,20385,1,0,0,2,1,20385,22800,1,22801
4,20385,15979,0,0,1,1,20385,1024,79895,80919
4,20398,1458,0,0,1,1,20398,24064,6561,30625
4,20398,14994,0,0,1,1,20398,16000,52479,68479
4,20410,294,0,0,1,1,20410,20096,1029,21125
4,20425,1331,0,0,1,1,20425,47044,1331,48375
4,20433,125,0,0,1,1,20433,83692,125,83817
4,20433,9313,0,0,1,1,20433,28812,9313,38125
4,20433,19321,0,0,1,1,20433,3660,19321,22981
4,20440,162,0,0,1,1,20440,42632,243,42875
4,20445,25,0,0,1,1,20445,50176,125,50301
4,20445,87,0,0,2,1,20445,137200,87,137287
4,20445,343,0,0,1,1,20445,253692,343,254035
4,20445,343,0,0,1,1,20445,352500,343,352843
4,20445,889,0,0,1,1,20445,23500,889,24389
4,20445,6561,0,0,1,1,20445,57500,6561,64061
4,20445,11421,0,0,1,1,20445,9604,11421,21025
4,20445,11421,0,0,1,1,20445,14500,11421,25921
4,20445,19881,0,0,1,1,20445,4508,19881,24389
4,20458,10,0,0,1,1,20458,23328,25,23353
4,20458,6534,0,0,1,1,20458,512,29403,29915
4,20458,9610,0,0,1,1,20458,32,24025,24057
4,20460,682,0,0,1,1,20460,26624,3751,30375
4,20460,1364,0,0,2,1,20460,26624,3751,30375
4,20460,2574,0,0,1,1,20460,10240,14157,24397
4,20460,2728,0,0,4,1,20460,26624,3751,30375
4,20460,9610,0,0,1,1,20460,32,24025,24057
4,20473,343,0,0,1,1,20473,81920,2401,84321
4,20473,15625,0,0,1,1,20473,7168,78125,85293
4,20475,15625,0,0,1,1,20475,7168,78125,85293
4,20500,10854,0,0,1,1,20500,67240,16281,83521
4,20503,343,0,0,1,1,20503,204020,343,204363
4,20503,405,0,0,1,1,20503,40804,405,41209
4,20513,3125,0,0,1,1,20513,136004,3125,139129
4,20515,19683,0,0,1,1,20515,1492,19683,21175
4,20530,5310,0,0,1,1,20530,16424,7965,24389
4,20553,4875,0,0,1,1,20553,263104,14625,277729
4,20590,198,0,0,1,1,20590,40328,297,40625
4,20590,3750,0,0,1,1,20590,50336,9375,59711
4,20608,16030,0,0,1,1,20608,2944,56105,59049
4,20613,361,0,0,1,1,20613,137420,361,137781
4,20613,19375,0,0,1,1,20613,26244,19375,45619
4,20613,19683,0,0,1,1,20613,10108,19683,29791
4,20631,207,0,0,1,1,20631,28096,621,28717
4,20634,2646,0,0,1,1,20634,262088,3969,266057
4,20655,1,0,0,1,1,20655,31212,1,31213
4,20655,1,0,0,1,1,20655,336140,1,336141
4,20655,1,0,0,2,1,20655,28560,1,28561
4,20655,49,0,0,1,1,20655,24516,49,24565
4,20655,1589,0,0,1,1,20655,57460,1589,59049
4,20655,3405,0,0,1,1,20655,114244,3405,117649
4,20655,13125,0,0,1,1,20655,15436,13125,28561
4,20655,15625,0,0,1,1,20655,7168,78125,85293
4,20655,18225,0,0,1,1,20655,8788,18225,27013
4,20670,7290,0,0,1,1,20670,10336,18225,28561
4,20670,8450,0,0,1,1,20670,9728,38025,47753
4,20670,17442,0,0,1,1,20670,27136,78489,105625
4,20680,13254,0,0,1,1,20680,370744,19881,390625
4,20683,243,0,0,1,1,20683,88256,729,88985
4,20683,1849,0,0,1,1,20683,21276,1849,23125
4,20683,8991,0,0,1,1,20683,33884,8991,42875
4,20683,9653,0,0,1,1,20683,10816,28959,39775
4,20683,15625,0,0,1,1,20683,7168,78125,85293
4,20700,2,0,0,1,1,20700,64000,9,64009
4,20700,4,0,0,2,1,20700,64000,9,64009
4,20700,8,0,0,4,1,20700,64000,9,64009
4,20703,1,0,0,2,1,20703,40400,1,40401
4,20703,67,0,0,1,1,20703,265024,201,265225
4,20713,4143,0,0,1,1,20713,17216,12429,29645
4,20718,11510,0,0,1,1,20718,10368,40285,50653
4,20733,1,0,0,1,1,20733,72500,1,72501
4,20733,3645,0,0,1,1,20733,123904,18225,142129
4,20733,6911,0,0,1,1,20733,26364,6911,33275
4,20733,10933,0,0,1,1,20733,312500,10933,323433
4,20733,14641,0,0,1,1,20733,6500,14641,21141
4,20746,46,0,0,2,1,20746,107584,69,107653
4,20746,234,0,0,1,1,20746,54872,351,55223
4,20746,1274,0,0,1,1,20746,67712,4459,72171
4,20746,1782,0,0,1,1,20746,66248,2673,68921
4,20746,14014,0,0,1,1,20746,38912,77077,115989
4,20748,162,0,0,1,1,20748,42496,729,43225
4,20748,3154,0,0,1,1,20748,23328,7885,31213
4,20755,37,0,0,1,1,20755,117612,37,117649
4,20755,225,0,0,1,1,20755,21952,675,22627
4,20755,1887,0,0,1,1,20755,40000,5661,45661
4,20755,1925,0,0,1,1,20755,21348,1925,23273
4,20755,2023,0,0,1,1,20755,27380,2023,29403
4,20755,3025,0,0,1,1,20755,47628,3025,50653
4,20755,4151,0,0,1,1,20755,16384,29057,45441
4,20755,4477,0,0,1,1,20755,1024,22385,23409
4,20755,6125,0,0,1,1,20755,17408,30625,48033
4,20755,6561,0,0,1,1,20755,87764,6561,94325
4,20755,9375,0,0,1,1,20755,7168,46875,54043
4,20755,14739,0,0,1,1,20755,2368,44217,46585
4,20755,19683,0,0,1,1,20755,16576,59049,75625
4,20767,1,0,0,2,1,20767,117648,1,117649
4,20790,2,0,0,1,1,20790,64000,9,64009
4,20790,4,0,0,2,1,20790,64000,9,64009
4,20790,8,0,0,4,1,20790,64000,9,64009
4,20803,15625,0,0,1,1,20803,27648,78125,105773
