U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
2,94003,25,0,0,1,1,94003,354294,25,354319
2,94015,25,0,0,1,1,94015,2087008,125,2087133
2,94015,16807,0,0,1,1,94015,48000,117649,165649
2,94015,18803,0,0,2,1,94015,166012,18803,184815
2,94017,37,0,0,2,1,94017,117612,37,117649
2,94045,25,0,0,1,1,94045,123602,25,123627
2,94045,141,0,0,1,1,94045,1421000,423,1421423
2,94045,329,0,0,1,1,94045,1679046,329,1679375
2,94045,2349,0,0,1,1,94045,105800,7047,112847
2,94045,15625,0,0,1,1,94045,128,109375,109503
2,94045,18125,0,0,1,1,94045,85698,18125,103823
2,94045,72549,0,0,1,1,94045,24064,652941,677005
2,94050,10,0,0,2,1,94050,184832,45,184877
2,94050,20,0,0,4,1,94050,184832,45,184877
2,94050,40,0,0,8,1,94050,184832,45,184877
2,94071,94071,0,0,16,1,94071,65536,94071,159607
2,94073,1,0,0,4,1,94073,250000,1,250001
2,94105,1,0,0,1,1,94105,95874,1,95875
2,94105,1,0,0,4,1,94105,421200,1,421201
2,94105,29,0,0,4,1,94105,156816,29,156845
2,94105,57,0,0,1,1,94105,171704,171,171875
2,94105,513,0,0,1,1,94105,524288,9747,534035
2,94105,531,0,0,1,1,94105,129032,1593,130625
2,94105,649,0,0,4,1,94105,104976,649,105625
2,94105,1045,0,0,1,1,94105,120832,11495,132327
2,94105,2175,0,0,1,1,94105,150176,10875,161051
2,94105,2197,0,0,1,1,94105,324104,6591,330695
2,94105,2301,0,0,1,1,94105,158750,2301,161051
2,94105,10527,0,0,1,1,94105,132278,10527,142805
2,94105,11583,0,0,1,1,94105,2560,104247,106807
2,94105,14703,0,0,1,1,94105,309760,132327,442087
2,94105,19683,0,0,1,1,94105,1303210,19683,1322893
2,94105,27075,0,0,1,1,94105,90112,351975,442087
2,94105,29241,0,0,1,1,94105,325120,263169,588289
2,94105,30861,0,0,1,1,94105,308792,92583,401375
2,94105,33275,0,0,1,1,94105,95758,33275,129033
2,94105,43011,0,0,1,1,94105,2682790,43011,2725801
2,94105,66139,0,0,1,1,94105,32258,66139,98397
2,94105,68121,0,0,1,1,94105,1016,204363,205379
2,94105,91125,0,0,1,1,94105,86528,820125,906653
2,94125,1,0,0,4,1,94125,249744,1,249745
2,94125,625,0,0,1,1,94125,118098,625,118723
2,94125,78125,0,0,1,1,94125,40678,78125,118803
2,94129,243,0,0,1,1,94129,175616,2187,177803
2,94143,991,0,0,1,1,94143,120050,991,121041
2,94183,2197,0,0,1,1,94183,126350,2197,128547
2,94183,2197,0,0,1,1,94183,247850,2197,250047
2,94183,4957,0,0,2,1,94183,159068,4957,164025
2,94183,8575,0,0,1,1,94183,71136,42875,114011
2,94183,15625,0,0,1,1,94183,128,109375,109503
2,94183,19683,0,0,1,1,94183,9728,177147,186875
2,94183,33075,0,0,1,1,94183,31096,99225,130321
2,94183,94183,0,0,1,1,94183,17576,282549,300125
2,94183,94183,0,0,1,1,94183,3543750,94183,3637933
2,94185,7,0,0,2,1,94185,142784,21,142805
2,94185,25,0,0,1,1,94185,753496,75,753571
2,94185,81,0,0,1,1,94185,156250,81,156331
2,94185,1215,0,0,1,1,94185,152096,6075,158171
2,94185,6561,0,0,1,1,94185,2352250,6561,2358811
2,94185,12005,0,0,1,1,94185,285568,84035,369603
2,94185,15625,0,0,1,1,94185,128,109375,109503
2,94185,40365,0,0,1,1,94185,31072,201825,232897
2,94185,42849,0,0,1,1,94185,121250,42849,164099
2,94185,47045,0,0,1,1,94185,707616,235225,942841
2,94213,9245,0,0,1,1,94213,51744,46225,97969
2,94213,39125,0,0,1,1,94213,32,195625,195657
2,94213,46875,0,0,1,1,94213,185416,140625,326041
2,94248,66,0,0,2,1,94248,169000,99,169099
2,94248,198,0,0,2,1,94248,217600,891,218491
2,94248,396,0,0,4,1,94248,217600,891,218491
2,94248,792,0,0,8,1,94248,217600,891,218491
2,94297,1,0,0,4,1,94297,117648,1,117649
2,94297,79507,0,0,1,1,94297,672182,79507,751689
2,94323,15625,0,0,1,1,94323,128,109375,109503
2,94323,33075,0,0,1,1,94323,32,165375,165407
2,94323,78125,0,0,1,1,94323,1149984,390625,1540609
2,94333,34295,0,0,1,1,94333,544,171475,172019
2,94345,18869,0,0,4,1,94345,234256,18869,253125
2,94365,1,0,0,2,1,94365,336140,1,336141
2,94365,1,0,0,4,1,94365,227408,1,227409
2,94365,9,0,0,1,1,94365,696320,117,696437
2,94365,233,0,0,8,1,94365,140544,233,140777
2,94365,405,0,0,4,1,94365,226576,405,226981
2,94365,18605,0,0,1,1,94365,76832,93025,169857
2,94365,28125,0,0,1,1,94365,386984,84375,471359
2,94365,34587,0,0,1,1,94365,1864,103761,105625
2,94365,48841,0,0,1,1,94365,8192,634933,643125
2,94365,54289,0,0,1,1,94365,742586,54289,796875
2,94365,59049,0,0,1,1,94365,131072,1003833,1134905
2,94365,67337,0,0,1,1,94365,156250,67337,223587
2,94365,67337,0,0,1,1,94365,285610,67337,352947
2,94365,78125,0,0,1,1,94365,303264,390625,693889
2,94393,1,0,0,1,1,94393,181250,1,181251
2,94393,15,0,0,1,1,94393,148862,15,148877
2,94393,53,0,0,8,1,94393,163072,53,163125
2,94393,137,0,0,1,1,94393,170586,137,170723
2,94393,155,0,0,1,1,94393,232882,155,233037
2,94393,245,0,0,1,1,94393,151686,245,151931
2,94393,403,0,0,1,1,94393,99470,403,99873
2,94393,1643,0,0,1,1,94393,208000,11501,219501
2,94393,3973,0,0,1,1,94393,174902,3973,178875
2,94393,7047,0,0,1,1,94393,57344,91611,148955
2,94393,15309,0,0,1,1,94393,16000,107163,123163
2,94393,19663,0,0,1,1,94393,51584,137641,189225
2,94393,23625,0,0,1,1,94393,30752,118125,148877
2,94393,25281,0,0,1,1,94393,47320,75843,123163
2,94393,26325,0,0,1,1,94393,32,131625,131657
2,94393,27811,0,0,1,1,94393,136214,27811,164025
2,94393,28431,0,0,1,1,94393,150152,85293,235445
2,94393,28561,0,0,1,1,94393,941192,85683,1026875
2,94393,33291,0,0,1,1,94393,3337088,233037,3570125
2,94393,35525,0,0,1,1,94393,30752,177625,208377
2,94393,41067,0,0,1,1,94393,685000,123201,808201
2,94393,46991,0,0,1,1,94393,135594,46991,182585
