U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
2,16003,125,0,0,1,1,16003,27936,625,28561
2,16005,485,0,0,2,1,16005,58564,485,59049
2,16023,3375,0,0,1,1,16023,20512,16875,37387
2,16027,47,0,0,4,1,16027,29744,47,29791
2,16027,517,0,0,2,1,16027,18252,517,18769
2,16027,2883,0,0,1,1,16027,15886,2883,18769
2,16027,9207,0,0,1,1,16027,1096,27621,28717
2,16029,1,0,0,4,1,16029,18768,1,18769
2,16035,11907,0,0,1,1,16035,12482,11907,24389
2,16093,5,0,0,1,1,16093,184832,45,184877
2,16093,7,0,0,2,1,16093,23104,21,23125
2,16093,11,0,0,1,1,16093,39690,11,39701
2,16093,11,0,0,1,1,16093,80864,55,80919
2,16093,19,0,0,1,1,16093,23606,19,23625
2,16093,19,0,0,4,1,16093,21296,19,21315
2,16093,29,0,0,1,1,16093,87846,29,87875
2,16093,33,0,0,1,1,16093,253750,33,253783
2,16093,37,0,0,1,1,16093,50750,37,50787
2,16093,55,0,0,1,1,16093,41154,55,41209
2,16093,63,0,0,1,1,16093,24200,189,24389
2,16093,75,0,0,1,1,16093,50578,75,50653
2,16093,111,0,0,1,1,16093,319000,333,319333
2,16093,551,0,0,1,1,16093,49000,1653,50653
2,16093,605,0,0,1,1,16093,18944,5445,24389
2,16093,703,0,0,1,1,16093,14848,6327,21175
2,16093,729,0,0,1,1,16093,40774,729,41503
2,16093,783,0,0,1,1,16093,22496,3915,26411
2,16093,841,0,0,1,1,16093,15488,5887,21375
2,16093,841,0,0,1,1,16093,43808,4205,48013
2,16093,847,0,0,1,1,16093,31958,847,32805
2,16093,1331,0,0,1,1,16093,185000,3993,188993
2,16093,1369,0,0,1,1,16093,83006,1369,84375
2,16093,1805,0,0,1,1,16093,26912,9025,35937
2,16093,1875,0,0,1,1,16093,48778,1875,50653
2,16093,2187,0,0,1,1,16093,20938,2187,23125
2,16093,3125,0,0,1,1,16093,225504,15625,241129
2,16093,3249,0,0,1,1,16093,117128,9747,126875
2,16093,3509,0,0,1,1,16093,39366,3509,42875
2,16093,3515,0,0,1,1,16093,10208,17575,27783
2,16093,3971,0,0,1,1,16093,13690,3971,17661
2,16093,3993,0,0,1,1,16093,33640,11979,45619
2,16093,5415,0,0,1,1,16093,512,48735,49247
2,16093,6561,0,0,1,1,16093,6728,19683,26411
2,16093,6561,0,0,1,1,16093,26714,6561,33275
2,16093,6845,0,0,1,1,16093,20938,6845,27783
2,16093,6875,0,0,1,1,16093,11552,34375,45927
2,16093,7569,0,0,1,1,16093,10240,83259,93499
2,16093,9747,0,0,1,1,16093,72520,29241,101761
2,16093,9947,0,0,1,1,16093,75776,109417,185193
2,16093,10469,0,0,1,1,16093,968,31407,32375
2,16093,13167,0,0,1,1,16093,200,39501,39701
2,16093,14641,0,0,1,1,16093,2166,14641,16807
2,16093,14641,0,0,1,1,16093,593750,14641,608391
2,16093,15059,0,0,1,1,16093,1566,15059,16625
2,16093,15125,0,0,1,1,16093,1682,15125,16807
2,16093,15435,0,0,1,1,16093,8954,15435,24389
2,16093,16093,0,0,8,1,16093,34560,16093,50653
2,16095,1875,0,0,1,1,16095,48778,1875,50653
2,16105,3221,0,0,2,1,16105,32500,3221,35721
2,16105,16105,0,0,1,1,16105,702,16105,16807
2,16107,7203,0,0,1,1,16107,21358,7203,28561
2,16129,1,0,0,1,1,16129,45846,1,45847
2,16131,1387,0,0,1,1,16131,82134,1387,83521
2,16135,5,0,0,1,1,16135,26406,5,26411
2,16135,6561,0,0,1,1,16135,40,19683,19723
2,16167,9747,0,0,1,1,16167,9826,9747,19573
2,16170,1078,0,0,2,1,16170,16000,3773,19773
2,16170,2156,0,0,4,1,16170,16000,3773,19773
2,16195,1,0,0,1,1,16195,172768,5,172773
2,16201,16201,0,0,4,1,16201,7856,16201,24057
2,16203,1,0,0,1,1,16203,45374,1,45375
2,16203,21,0,0,1,1,16203,59264,147,59411
2,16233,191,0,0,1,1,16233,531250,191,531441
2,16233,573,0,0,1,1,16233,147968,5157,153125
2,16243,1,0,0,1,1,16243,54872,3,54875
2,16245,1,0,0,1,1,16245,623294,1,623295
2,16245,5,0,0,1,1,16245,184832,45,184877
2,16245,361,0,0,1,1,16245,506250,361,506611
2,16245,2527,0,0,1,1,16245,3200,17689,20889
2,16245,3125,0,0,1,1,16245,130438,3125,133563
2,16245,6875,0,0,1,1,16245,11552,34375,45927
2,16245,10339,0,0,1,1,16245,13718,10339,24057
2,16245,14641,0,0,1,1,16245,2166,14641,16807
2,16245,14641,0,0,1,1,16245,2450,14641,17091
2,16261,1,0,0,1,1,16261,73528,3,73531
2,16261,483,0,0,1,1,16261,28078,483,28561
2,16261,2323,0,0,4,1,16261,21168,2323,23491
2,16275,5,0,0,2,1,16275,157604,5,157609
2,16275,35,0,0,1,1,16275,39366,35,39401
2,16303,125,0,0,1,1,16303,18144,625,18769
2,16303,1377,0,0,1,1,16303,17536,9639,27175
2,16303,2401,0,0,1,1,16303,10368,16807,27175
2,16303,3645,0,0,1,1,16303,544,18225,18769
2,16308,302,0,0,8,1,16308,28672,453,29125
2,16315,3,0,0,1,1,16315,65000,9,65009
2,16315,5,0,0,2,1,16315,257024,25,257049
2,16315,13,0,0,4,1,16315,28112,13,28125
2,16315,1755,0,0,1,1,16315,8032,8775,16807
2,16335,4805,0,0,1,1,16335,32,24025,24057
2,16338,2,0,0,4,1,16338,50176,5,50181
2,16338,4,0,0,8,1,16338,50176,5,50181
2,16341,1,0,0,2,1,16341,45252,1,45253
2,16357,14641,0,0,1,1,16357,2166,14641,16807
2,16357,14801,0,0,1,1,16357,14336,162811,177147
2,16365,1259,0,0,1,1,16365,39366,1259,40625
2,16375,2187,0,0,1,1,16375,10600,6561,17161
2,16378,862,0,0,2,1,16378,141512,1293,142805
2,16383,1,0,0,2,1,16383,36160,3,36163
2,16383,127,0,0,1,1,16383,20898,127,21025
2,16383,381,0,0,4,1,16383,77744,381,78125
2,16383,5375,0,0,1,1,16383,408608,26875,435483
2,16393,125,0,0,1,1,16393,27936,625,28561
2,16399,23,0,0,2,1,16399,161028,23,161051
2,16399,1587,0,0,1,1,16399,715822,1587,717409
2,16413,15625,0,0,1,1,16413,33614,15625,49239
