U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
3,34008,19511,0,0,1,1,34008,81,78044,78125
3,34032,9317,0,0,1,1,34032,81,37268,37349
3,34034,11,0,0,1,1,34034,37338,11,37349
3,34034,67,0,0,1,1,34034,43197,67,43264
3,34034,121,0,0,1,1,34034,36582,121,36703
3,34034,208,0,0,1,1,34034,40401,416,40817
3,34034,392,0,0,1,1,34034,917163,1568,918731
3,34034,847,0,0,1,1,34034,33969,847,34816
3,34034,2023,0,0,1,1,34034,28431,14161,42592
3,34034,2032,0,0,1,1,34034,127413,8128,135541
3,34034,4288,0,0,1,1,34034,79233,4288,83521
3,34034,4624,0,0,1,1,34034,40131,9248,49379
3,34034,9317,0,0,1,1,34034,81,37268,37349
3,34034,10816,0,0,1,1,34034,257499,43264,300763
3,34034,30016,0,0,1,1,34034,4953,30016,34969
3,34038,368,0,0,1,1,34038,33489,736,34225
3,34038,18944,0,0,1,1,34038,301401,75776,377177
3,34058,64,0,0,1,1,34058,85293,512,85805
3,34060,64,0,0,1,1,34060,85293,512,85805
3,34060,811,0,0,1,1,34060,66417,811,67228
3,34060,2197,0,0,1,1,34060,95256,10985,106241
3,34084,529,0,0,1,1,34084,129792,529,130321
3,34100,25,0,0,1,1,34100,107811,100,107911
3,34100,1829,0,0,1,1,34100,76296,1829,78125
3,34112,3328,0,0,1,1,34112,37341,13312,50653
3,34130,625,0,0,1,1,34130,117024,625,117649
3,34130,2645,0,0,1,1,34130,124416,13225,137641
3,34136,1004,0,0,1,1,34136,826281,4016,830297
3,34140,14792,0,0,1,1,34140,128025,29584,157609
3,34160,1,0,0,3,1,34160,51300,1,51301
3,34160,61,0,0,3,1,34160,79515,61,79576
3,34160,64,0,0,1,1,34160,146205,256,146461
3,34160,625,0,0,1,1,34160,417774,625,418399
3,34160,961,0,0,1,1,34160,144039,961,145000
3,34160,1952,0,0,1,1,34160,33573,1952,35525
3,34160,3721,0,0,1,1,34160,863040,3721,866761
3,34160,6272,0,0,1,1,34160,10935,43904,54839
3,34160,9920,0,0,1,1,34160,1701,49600,51301
3,34160,10469,0,0,1,1,34160,46875,10469,57344
3,34160,21025,0,0,1,1,34160,786432,21025,807457
3,34160,22021,0,0,1,1,34160,9,44042,44051
3,34160,25088,0,0,1,1,34160,1125,50176,51301
3,34160,26071,0,0,1,1,34160,30720,26071,56791
3,34160,29791,0,0,1,1,34160,281637,148955,430592
