U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
2,132549,14739,0,0,1,1,132549,265102,14739,279841
2,132559,363,0,0,1,1,132559,1791832,1089,1792921
2,132559,27783,0,0,1,1,132559,2048,305613,307661
2,132559,73689,0,0,1,1,132559,5224,221067,226291
2,132559,132559,0,0,1,1,132559,843648,927913,1771561
2,132561,1,0,0,4,1,132561,565136,1,565137
2,132585,49,0,0,1,1,132585,204800,637,205437
2,132585,8839,0,0,2,1,132585,413036,8839,421875
2,132585,10075,0,0,1,1,132585,8192,130975,139167
2,132585,10935,0,0,1,1,132585,235298,10935,246233
2,132585,15463,0,0,1,1,132585,2097152,324723,2421875
2,132585,109375,0,0,1,1,132585,53034,109375,162409
2,132615,1,0,0,4,1,132615,707280,1,707281
2,132615,841,0,0,1,1,132615,131810,841,132651
2,132615,15435,0,0,1,1,132615,34432,108045,142477
2,132615,52625,0,0,1,1,132615,118098,52625,170723
2,132615,61965,0,0,1,1,132615,226498,61965,288463
2,132615,95625,0,0,1,1,132615,48778,95625,144403
2,132618,2,0,0,4,1,132618,248832,5,248837
2,132618,4,0,0,8,1,132618,248832,5,248837
2,132655,78125,0,0,1,1,132655,59168,390625,449793
2,132685,8993,0,0,1,1,132685,1062882,8993,1071875
2,132685,60835,0,0,1,1,132685,2744,182505,185249
2,132685,80125,0,0,1,1,132685,287776,400625,688401
2,132713,1,0,0,1,1,132713,208544,5,208549
2,132715,1,0,0,4,1,132715,404624,1,404625
2,132715,41,0,0,1,1,132715,250952,123,251075
2,132715,57,0,0,1,1,132715,171704,171,171875
2,132715,249,0,0,1,1,132715,228488,747,229235
2,132715,1521,0,0,1,1,132715,161290,1521,162811
2,132715,1521,0,0,1,1,132715,1213682,1521,1215203
2,132715,1651,0,0,1,1,132715,556358,1651,558009
2,132715,3321,0,0,1,1,132715,219488,16605,236093
2,132715,6561,0,0,1,1,132715,156250,6561,162811
2,132715,10287,0,0,1,1,132715,83968,113157,197125
2,132715,14801,0,0,1,1,132715,146250,14801,161051
2,132715,17303,0,0,1,1,132715,679936,224939,904875
2,132715,29315,0,0,1,1,132715,1143574,29315,1172889
2,132715,34925,0,0,1,1,132715,364702,34925,399627
2,132715,51875,0,0,1,1,132715,322102,51875,373977
2,132715,61009,0,0,1,1,132715,105410,61009,166419
2,132715,68921,0,0,1,1,132715,70304,344605,414909
2,132715,85683,0,0,1,1,132715,25400,257049,282449
2,132793,8991,0,0,1,1,132793,176152,26973,203125
2,132795,343,0,0,1,1,132795,1418750,343,1419093
2,132795,2197,0,0,1,1,132795,152390,2197,154587
2,132795,55615,0,0,1,1,132795,171366,55615,226981
2,132795,117649,0,0,1,1,132795,76726,117649,194375
2,132799,79,0,0,2,1,132799,177068,79,177147
2,132823,419,0,0,8,1,132823,435456,419,435875
2,132823,1701,0,0,1,1,132823,170368,11907,182275
2,132823,52375,0,0,1,1,132823,6624,261875,268499
2,132825,1323,0,0,1,1,132825,369800,3969,373769
2,132825,6655,0,0,1,1,132825,159014,6655,165669
2,132825,6655,0,0,1,1,132825,206486,6655,213141
2,132825,14641,0,0,1,1,132825,142094,14641,156735
2,132825,14641,0,0,1,1,132825,166806,14641,181447
2,132825,16767,0,0,1,1,132825,1902824,50301,1953125
2,132825,21175,0,0,1,1,132825,98848,105875,204723
2,132825,52245,0,0,1,1,132825,24712,156735,181447
2,132825,83403,0,0,1,1,132825,8,250209,250217
2,132835,31,0,0,2,1,132835,177116,31,177147
2,132847,123687,0,0,1,1,132847,232,371061,371293
2,132853,7,0,0,2,1,132853,177140,7,177147
2,132858,6,0,0,8,1,132858,495616,9,495625
2,132867,1,0,0,4,1,132867,422576,1,422577
2,132963,1,0,0,1,1,132963,138368,7,138375
2,132963,41,0,0,2,1,132963,609684,41,609725
2,132963,41,0,0,4,1,132963,174000,41,174041
2,132963,47,0,0,4,1,132963,250000,47,250047
2,132963,203,0,0,1,1,132963,440422,203,440625
2,132963,621,0,0,1,1,132963,240254,621,240875
2,132963,655,0,0,1,1,132963,484128,3275,487403
2,132963,917,0,0,1,1,132963,620658,917,621575
2,132963,943,0,0,8,1,132963,185600,943,186543
2,132963,2209,0,0,1,1,132963,777600,15463,793063
2,132963,6157,0,0,1,1,132963,243890,6157,250047
2,132963,6157,0,0,1,1,132963,3170366,6157,3176523
2,132963,19683,0,0,1,1,132963,3859576,59049,3918625
2,132963,51483,0,0,1,1,132963,2296,154449,156745
2,132963,55883,0,0,1,1,132963,138598,55883,194481
2,132963,60835,0,0,1,1,132963,4192,304175,308367
2,132988,66494,0,0,2,1,132988,10912,166235,177147
2,132988,132988,0,0,4,1,132988,10912,166235,177147
