U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
2,88513,1,0,0,1,1,88513,175616,9,175625
2,88515,1,0,0,1,1,88515,175616,9,175625
2,88515,13,0,0,1,1,88515,151250,13,151263
2,88515,91,0,0,1,1,88515,1771470,91,1771561
2,88515,281,0,0,1,1,88515,210912,1405,212317
2,88515,281,0,0,2,1,88515,137500,281,137781
2,88515,1967,0,0,1,1,88515,100278,1967,102245
2,88515,7605,0,0,1,1,88515,143872,68445,212317
2,88515,15625,0,0,1,1,88515,83006,15625,98631
2,88515,21125,0,0,1,1,88515,35968,147875,183843
2,88515,31213,0,0,1,1,88515,155520,218491,374011
2,88543,78125,0,0,1,1,88543,57122,78125,135247
2,88567,13,0,0,1,1,88567,177134,13,177147
2,88567,88567,0,0,1,1,88567,39366,88567,127933
2,88573,1,0,0,1,1,88573,177146,1,177147
2,88583,1,0,0,1,1,88583,306250,1,306251
2,88585,86751,0,0,1,1,88585,323968,607257,931225
2,88593,19683,0,0,1,1,88593,5408,98415,103823
2,88593,28125,0,0,1,1,88593,1504,140625,142129
2,88603,2187,0,0,1,1,88603,1765000,6561,1771561
2,88615,1,0,0,8,1,88615,122624,1,122625
2,88621,43,0,0,1,1,88621,160758,43,160801
2,88653,1,0,0,2,1,88653,137564,1,137565
2,88653,1,0,0,4,1,88653,350000,1,350001
2,88653,85,0,0,1,1,88653,2228128,425,2228553
2,88653,7301,0,0,1,1,88653,140454,7301,147755
2,88653,73167,0,0,1,1,88653,50950,73167,124117
2,88658,914,0,0,2,1,88658,120032,2285,122317
2,88658,1828,0,0,4,1,88658,120032,2285,122317
2,88683,135,0,0,1,1,88683,3375104,2025,3377129
2,88687,6093,0,0,1,1,88687,85544,18279,103823
2,88711,667,0,0,1,1,88711,129654,667,130321
2,88711,12673,0,0,4,1,88711,104976,12673,117649
2,88723,1,0,0,2,1,88723,105300,1,105301
2,88723,1,0,0,2,1,88723,336140,1,336141
2,88723,3125,0,0,1,1,88723,78624,15625,94249
2,88723,14739,0,0,1,1,88723,157184,132651,289835
2,88723,48841,0,0,1,1,88723,8192,634933,643125
2,88723,78125,0,0,1,1,88723,303264,390625,693889
2,88725,1,0,0,2,1,88725,137780,1,137781
2,88753,409,0,0,2,1,88753,262144,3681,265825
2,88755,3,0,0,1,1,88755,953122,3,953125
2,88755,97,0,0,2,1,88755,253028,97,253125
2,88755,51529,0,0,1,1,88755,12800,463761,476561
2,88755,59049,0,0,1,1,88755,131072,1003833,1134905
2,88803,59319,0,0,1,1,88803,142088,177957,320045
2,88825,1,0,0,1,1,88825,359392,5,359397
2,88825,1805,0,0,1,1,88825,1837462,1805,1839267
2,88825,17357,0,0,1,1,88825,159790,17357,177147
2,88825,33275,0,0,1,1,88825,233206,33275,266481
2,88863,2539,0,0,1,1,88863,451250,2539,453789
2,88863,7617,0,0,1,1,88863,798208,68553,866761
2,88875,1,0,0,2,1,88875,380700,1,380701
2,88875,19375,0,0,1,1,88875,512,174375,174887
2,88893,1,0,0,1,1,88893,2386250,1,2386251
2,88893,1,0,0,2,1,88893,137780,1,137781
2,88893,17,0,0,2,1,88893,563500,17,563517
2,88893,747,0,0,1,1,88893,408170,747,408917
2,88893,8993,0,0,1,1,88893,1062882,8993,1071875
2,88893,15625,0,0,1,1,88893,128,109375,109503
2,88893,43907,0,0,1,1,88893,196830,43907,240737
2,88933,13,0,0,1,1,88933,151250,13,151263
2,88933,91,0,0,1,1,88933,1771470,91,1771561
2,88933,14641,0,0,1,1,88933,128,102487,102615
2,88977,16807,0,0,1,1,88977,12672,117649,130321
2,88985,5,0,0,8,1,88985,502016,5,502021
2,88999,671,0,0,1,1,88999,1968128,7381,1975509
