U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
2,62031,22103,0,0,1,1,62031,46818,22103,68921
2,62073,243,0,0,1,1,62073,72962,243,73205
2,62073,19683,0,0,1,1,62073,508442,19683,528125
2,62073,20577,0,0,1,1,62073,99320,61731,161051
2,62088,78,0,0,2,1,62088,78008,117,78125
2,62115,3333,0,0,1,1,62115,137842,3333,141175
2,62125,2187,0,0,1,1,62125,1480192,19683,1499875
2,62125,59049,0,0,1,1,62125,70574,59049,129623
2,62175,16025,0,0,1,1,62175,288,80125,80413
2,62203,1,0,0,2,1,62203,72500,1,72501
2,62203,1,0,0,2,1,62203,190268,1,190269
2,62203,54043,0,0,1,1,62203,31250,54043,85293
2,62205,1,0,0,2,1,62205,72500,1,72501
2,62215,115,0,0,4,1,62215,120528,115,120643
2,62223,1,0,0,1,1,62223,409374,1,409375
2,62235,16875,0,0,1,1,62235,14752,84375,99127
2,62235,34425,0,0,1,1,62235,128,240975,241103
2,62238,2,0,0,2,1,62238,64000,9,64009
2,62238,4,0,0,4,1,62238,64000,9,64009
2,62238,8,0,0,8,1,62238,64000,9,64009
2,62263,4151,0,0,1,1,62263,32768,62265,95033
2,62263,15979,0,0,1,1,62263,51030,15979,67009
2,62263,17197,0,0,1,1,62263,177184,85985,263169
2,62263,38759,0,0,1,1,62263,39366,38759,78125
2,62305,733,0,0,4,1,62305,250000,733,250733
2,62305,2875,0,0,1,1,62305,163744,14375,178119
2,62305,3087,0,0,1,1,62305,63038,3087,66125
2,62305,8993,0,0,1,1,62305,1062882,8993,1071875
2,62305,15625,0,0,1,1,62305,128,109375,109503
2,62305,20825,0,0,1,1,62305,23456,104125,127581
2,62335,1,0,0,1,1,62335,120834,1,120835
2,62335,13,0,0,1,1,62335,151250,13,151263
2,62335,27,0,0,1,1,62335,228488,81,228569
2,62335,91,0,0,1,1,62335,1771470,91,1771561
2,62335,315,0,0,1,1,62335,241792,2205,243997
2,62335,9261,0,0,1,1,62335,2361250,9261,2370511
2,62335,9445,0,0,1,1,62335,8192,122785,130977
2,62335,11097,0,0,1,1,62335,1229312,99873,1329185
2,62335,24843,0,0,1,1,62335,1096,74529,75625
2,62335,31213,0,0,1,1,62335,60448,156065,216513
2,62335,46991,0,0,1,1,62335,272250,46991,319241
2,62335,50421,0,0,1,1,62335,15112,151263,166375
2,62335,60025,0,0,1,1,62335,864,300125,300989
2,62403,1,0,0,2,1,62403,465124,1,465125
2,62403,11,0,0,2,1,62403,74420,11,74431
2,62403,3267,0,0,1,1,62403,79360,29403,108763
2,62403,3267,0,0,1,1,62403,1905152,29403,1934555
2,62403,15625,0,0,1,1,62403,58806,15625,74431
2,62403,19613,0,0,1,1,62403,156250,19613,175863
2,62403,21609,0,0,1,1,62403,59582,21609,81191
2,62413,1,0,0,1,1,62413,101250,1,101251
2,62413,1387,0,0,1,1,62413,118638,1387,120025
2,62415,1,0,0,1,1,62415,101250,1,101251
2,62445,1,0,0,1,1,62445,64000,9,64009
2,62445,1,0,0,1,1,62445,71874,1,71875
2,62445,529,0,0,1,1,62445,556346,529,556875
2,62445,1331,0,0,1,1,62445,103808,9317,113125
2,62445,15625,0,0,1,1,62445,128,109375,109503
2,62445,21609,0,0,1,1,62445,33304,64827,98131
2,62445,59049,0,0,1,1,62445,8326,59049,67375
2,62463,19683,0,0,1,1,62463,5408,98415,103823
2,62489,169,0,0,1,1,62489,143374,169,143543
2,62491,627,0,0,1,1,62491,316342,627,316969
2,62491,2277,0,0,1,1,62491,2473822,2277,2476099
2,62491,59049,0,0,1,1,62491,30118,59049,89167
2,124062,44206,0,0,2,2,62031,46818,22103,68921
2,124146,486,0,0,2,2,62073,72962,243,73205
2,124146,39366,0,0,2,2,62073,508442,19683,528125
2,124146,41154,0,0,2,2,62073,99320,61731,161051
2,124176,156,0,0,4,2,62088,78008,117,78125
2,124230,6666,0,0,2,2,62115,137842,3333,141175
2,124250,4374,0,0,2,2,62125,1480192,19683,1499875
2,124250,118098,0,0,2,2,62125,70574,59049,129623
2,124350,32050,0,0,2,2,62175,288,80125,80413
2,124406,2,0,0,4,2,62203,72500,1,72501
2,124406,2,0,0,4,2,62203,190268,1,190269
2,124406,108086,0,0,2,2,62203,31250,54043,85293
2,124410,2,0,0,4,2,62205,72500,1,72501
2,124430,230,0,0,8,2,62215,120528,115,120643
2,124446,2,0,0,2,2,62223,409374,1,409375
2,124470,33750,0,0,2,2,62235,14752,84375,99127
2,124470,68850,0,0,2,2,62235,128,240975,241103
