U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
2,17005,3125,0,0,1,1,17005,16416,15625,32041
2,17015,25,0,0,1,1,17015,20086,25,20111
2,17015,10625,0,0,1,1,17015,33614,10625,44239
2,17017,1,0,0,2,1,17017,31212,1,31213
2,17017,27,0,0,1,1,17017,162382,27,162409
2,17017,289,0,0,1,1,17017,71874,289,72163
2,17017,351,0,0,1,1,17017,31232,3159,34391
2,17017,2511,0,0,1,1,17017,19208,7533,26741
2,17017,3267,0,0,1,1,17017,107848,9801,117649
2,17017,8959,0,0,1,1,17017,19602,8959,28561
2,17017,9801,0,0,1,1,17017,2744,29403,32147
2,17017,10309,0,0,1,1,17017,33614,10309,43923
2,17043,1,0,0,8,1,17043,76544,1,76545
2,17043,5,0,0,1,1,17043,89376,25,89401
2,17043,9,0,0,1,1,17043,18506,9,18515
2,17043,1587,0,0,1,1,17043,46592,14283,60875
2,17043,2197,0,0,1,1,17043,126350,2197,128547
2,17043,2401,0,0,1,1,17043,3200,16807,20007
2,17043,4225,0,0,1,1,17043,288,21125,21413
2,17043,5681,0,0,8,1,17043,12544,5681,18225
2,17043,6591,0,0,1,1,17043,128,46137,46265
2,17043,6859,0,0,1,1,17043,5152,34295,39447
2,17043,15625,0,0,1,1,17043,128,109375,109503
2,17073,25,0,0,1,1,17073,234144,125,234269
2,17083,1,0,0,4,1,17083,18224,1,18225
2,17085,1,0,0,4,1,17085,18224,1,18225
2,17085,4375,0,0,1,1,17085,128,30625,30753
2,17094,814,0,0,4,1,17094,16384,2849,19233
2,17094,1628,0,0,8,1,17094,16384,2849,19233
2,17113,1,0,0,1,1,17113,38150,1,38151
2,17113,5341,0,0,1,1,17113,20250,5341,25591
2,17119,14739,0,0,1,1,17119,4394,14739,19133
2,17127,16807,0,0,1,1,17127,13122,16807,29929
2,17143,1,0,0,1,1,17143,96774,1,96775
2,17143,217,0,0,1,1,17143,16256,1519,17775
2,17143,343,0,0,1,1,17143,155682,343,156025
2,17143,7203,0,0,1,1,17143,12482,7203,19685
2,17143,17143,0,0,2,1,17143,2540,17143,19683
2,17155,1,0,0,1,1,17155,101250,1,101251
2,17155,1,0,0,4,1,17155,117648,1,117649
2,17155,81,0,0,1,1,17155,42632,243,42875
2,17155,375,0,0,1,1,17155,42632,1125,43757
2,17155,675,0,0,1,1,17155,100448,3375,103823
2,17155,729,0,0,1,1,17155,24064,6561,30625
2,17155,2401,0,0,1,1,17155,189974,2401,192375
2,17155,3125,0,0,1,1,17155,4256,15625,19881
