U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
2,120013,120013,0,0,1,1,120013,31250,120013,151263
2,120030,40010,0,0,4,1,120030,31744,100025,131769
2,120030,80020,0,0,8,1,120030,31744,100025,131769
2,120043,121,0,0,1,1,120043,165254,121,165375
2,120043,3375,0,0,1,1,120043,117128,10125,127253
2,120043,12231,0,0,1,1,120043,14336,134541,148877
2,120043,44891,0,0,1,1,120043,16000,314237,330237
2,120060,12006,0,0,8,1,120060,102400,18009,120409
2,120063,1369,0,0,1,1,120063,1847042,1369,1848411
2,120085,49,0,0,1,1,120085,177098,49,177147
2,120085,81,0,0,1,1,120085,125114,81,125195
2,120085,32571,0,0,1,1,120085,128,227997,228125
2,120183,1,0,0,2,1,120183,213108,1,213109
2,120183,625,0,0,1,1,120183,149058,625,149683
2,120183,6561,0,0,1,1,120183,465794,6561,472355
2,120183,8125,0,0,1,1,120183,73728,105625,179353
2,120183,15625,0,0,1,1,120183,388962,15625,404587
2,120195,59049,0,0,1,1,120195,1568,295245,296813
2,120223,120223,0,0,8,1,120223,293120,120223,413343
2,120265,1,0,0,2,1,120265,137780,1,137781
2,120265,22617,0,0,1,1,120265,128,158319,158447
2,120265,75509,0,0,1,1,120265,16000,528563,544563
2,120363,1,0,0,4,1,120363,130320,1,130321
2,120363,27,0,0,1,1,120363,137560,81,137641
2,120363,3125,0,0,1,1,120363,169568,15625,185193
2,120363,61731,0,0,1,1,120363,65522,61731,127253
2,120365,45619,0,0,1,1,120365,115840,319333,435173
2,120373,625,0,0,1,1,120373,354294,625,354919
2,120373,2187,0,0,1,1,120373,1765000,6561,1771561
2,120405,42875,0,0,1,1,120405,339488,214375,553863
2,120405,83667,0,0,1,1,120405,28840,251001,279841
2,120433,1,0,0,2,1,120433,137780,1,137781
2,120433,125,0,0,1,1,120433,340256,625,340881
2,120435,1,0,0,2,1,120435,777924,1,777925
2,120435,16807,0,0,1,1,120435,3982976,117649,4100625
2,120475,18723,0,0,1,1,120475,134456,56169,190625
2,120475,69125,0,0,1,1,120475,119072,345625,464697
2,120495,38025,0,0,1,1,120495,365056,342225,707281
2,120495,77841,0,0,1,1,120495,80330,77841,158171
