U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
25,2370,5,0,0,5,5,474,1700,1,1701
25,2370,5,0,0,5,5,474,2400,1,2401
25,2370,395,0,0,5,5,474,425,79,504
25,2376,66,0,0,66,66,36,75,1,76
25,2376,81,0,0,9,9,264,475,9,484
25,2376,441,0,0,9,9,264,275,49,324
25,2376,576,0,0,9,9,264,475,64,539
25,2376,726,0,0,6,6,396,675,121,796
25,2376,1188,0,0,66,66,36,125,27,152
25,2376,1881,0,0,9,9,264,175,209,384
25,2376,2304,0,0,9,9,264,675,256,931
25,2380,680,0,0,10,10,238,175,68,243
25,2380,980,0,0,10,10,238,125,147,272
25,2388,3,0,0,3,3,796,2400,1,2401
25,2388,384,0,0,3,3,796,4975,128,5103
25,2388,768,0,0,3,3,796,675,256,931
25,2388,1539,0,0,3,3,796,4975,513,5488
25,2392,13,0,0,13,13,184,575,1,576
25,2392,403,0,0,13,13,184,225,31,256
25,2392,1794,0,0,46,46,52,25,39,64
25,2394,84,0,0,21,21,114,725,4,729
25,2394,1368,0,0,57,57,42,25,24,49
25,2394,1539,0,0,19,19,126,175,81,256
25,2394,1539,0,0,57,57,42,50,27,77
25,2400,2025,0,0,25,25,96,175,81,256
25,2406,1536,0,0,3,3,802,1675,512,2187
25,2408,56,0,0,14,14,172,725,4,729
25,2412,67,0,0,67,67,36,75,1,76
25,2412,288,0,0,3,3,804,775,96,871
25,2412,1206,0,0,67,67,36,125,27,152
25,2418,403,0,0,13,13,186,225,31,256
25,2422,756,0,0,7,7,346,625,216,841
25,2424,768,0,0,12,12,202,225,64,289
25,2432,576,0,0,32,32,76,125,27,152
25,2432,1024,0,0,16,16,152,475,64,539
25,2432,1088,0,0,8,8,304,225,136,361
25,2432,1152,0,0,32,32,76,325,36,361
25,2432,2432,0,0,8,8,304,425,304,729
25,2436,6,0,0,6,6,406,1700,1,1701
25,2436,6,0,0,6,6,406,2175,1,2176
25,2436,6,0,0,6,6,406,2400,1,2401
25,2436,14,0,0,14,14,174,725,1,726
25,2436,56,0,0,14,14,174,725,4,729
25,2436,96,0,0,6,6,406,425,16,441
25,2436,224,0,0,14,14,174,825,16,841
25,2436,648,0,0,6,6,406,725,108,833
25,2436,648,0,0,6,6,406,625,216,841
25,2436,672,0,0,3,3,812,625,448,1073
25,2436,756,0,0,7,7,348,625,216,841
25,2436,1392,0,0,58,58,42,25,24,49
25,2436,1566,0,0,6,6,406,425,261,686
25,2436,1566,0,0,58,58,42,50,27,77
25,2436,2058,0,0,6,6,406,150,343,493
25,2436,2058,0,0,6,6,406,425,343,768
25,2436,2349,0,0,29,29,84,175,81,256
25,2438,1219,0,0,23,23,106,75,53,128
25,2440,810,0,0,10,10,244,1600,81,1681
25,2442,297,0,0,3,3,814,925,99,1024
25,2442,363,0,0,3,3,814,625,242,867
25,2442,867,0,0,3,3,814,800,289,1089
25,2442,1584,0,0,11,11,222,1225,144,1369
25,2442,1632,0,0,3,3,814,825,544,1369
25,2444,1833,0,0,47,47,52,25,39,64
