U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
2,16003,125,0,0,1,1,16003,27936,625,28561
2,16023,3375,0,0,1,1,16023,20512,16875,37387
2,16027,2883,0,0,1,1,16027,15886,2883,18769
2,16029,1,0,0,4,1,16029,18768,1,18769
2,16035,11907,0,0,1,1,16035,12482,11907,24389
2,16093,605,0,0,1,1,16093,18944,5445,24389
2,16093,703,0,0,1,1,16093,14848,6327,21175
2,16093,729,0,0,1,1,16093,40774,729,41503
2,16093,783,0,0,1,1,16093,22496,3915,26411
2,16093,841,0,0,1,1,16093,15488,5887,21375
2,16093,841,0,0,1,1,16093,43808,4205,48013
2,16093,1369,0,0,1,1,16093,83006,1369,84375
2,16093,1805,0,0,1,1,16093,26912,9025,35937
2,16093,2187,0,0,1,1,16093,20938,2187,23125
2,16093,3125,0,0,1,1,16093,225504,15625,241129
2,16093,3249,0,0,1,1,16093,117128,9747,126875
2,16093,3509,0,0,1,1,16093,39366,3509,42875
2,16093,3515,0,0,1,1,16093,10208,17575,27783
2,16093,3971,0,0,1,1,16093,13690,3971,17661
2,16093,3993,0,0,1,1,16093,33640,11979,45619
2,16093,5415,0,0,1,1,16093,512,48735,49247
2,16093,6561,0,0,1,1,16093,6728,19683,26411
2,16093,6561,0,0,1,1,16093,26714,6561,33275
2,16093,6845,0,0,1,1,16093,20938,6845,27783
2,16093,6875,0,0,1,1,16093,11552,34375,45927
2,16093,7569,0,0,1,1,16093,10240,83259,93499
2,16093,9747,0,0,1,1,16093,72520,29241,101761
2,16093,9947,0,0,1,1,16093,75776,109417,185193
2,16093,10469,0,0,1,1,16093,968,31407,32375
2,16093,13167,0,0,1,1,16093,200,39501,39701
2,16093,14641,0,0,1,1,16093,2166,14641,16807
2,16093,14641,0,0,1,1,16093,593750,14641,608391
2,16093,15059,0,0,1,1,16093,1566,15059,16625
2,16093,15125,0,0,1,1,16093,1682,15125,16807
2,16093,15435,0,0,1,1,16093,8954,15435,24389
2,16093,16093,0,0,8,1,16093,34560,16093,50653
2,16105,3221,0,0,2,1,16105,32500,3221,35721
2,16107,7203,0,0,1,1,16107,21358,7203,28561
2,16129,1,0,0,1,1,16129,45846,1,45847
2,16167,9747,0,0,1,1,16167,9826,9747,19573
2,16170,1078,0,0,2,1,16170,16000,3773,19773
2,16170,2156,0,0,4,1,16170,16000,3773,19773
2,16201,16201,0,0,4,1,16201,7856,16201,24057
2,16203,1,0,0,1,1,16203,45374,1,45375
2,16245,1,0,0,1,1,16245,623294,1,623295
2,16245,361,0,0,1,1,16245,506250,361,506611
2,16245,2527,0,0,1,1,16245,3200,17689,20889
2,16245,3125,0,0,1,1,16245,130438,3125,133563
