U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
2,90517,19201,0,0,1,1,90517,103448,57603,161051
2,90543,30181,0,0,1,1,90543,354294,30181,384475
2,90565,18225,0,0,1,1,90565,9824,91125,100949
2,90573,68837,0,0,1,1,90573,85750,68837,154587
2,90594,90594,0,0,2,1,90594,40832,317079,357911
2,90613,243,0,0,1,1,90613,116920,729,117649
2,90613,343,0,0,1,1,90613,155682,343,156025
2,90613,19683,0,0,1,1,90613,685720,59049,744769
2,90618,6,0,0,2,1,90618,270848,27,270875
2,90618,12,0,0,4,1,90618,270848,27,270875
2,90618,24,0,0,8,1,90618,270848,27,270875
2,90643,15625,0,0,1,1,90643,128,109375,109503
2,90649,5427,0,0,1,1,90649,118408,16281,134689
2,90649,61347,0,0,1,1,90649,8,184041,184049
2,90673,78125,0,0,1,1,90673,4006098,78125,4084223
2,90685,1,0,0,4,1,90685,117648,1,117649
2,90685,42957,0,0,1,1,90685,253918,42957,296875
2,90735,35505,0,0,1,1,90735,1015808,532575,1548383
2,90783,9,0,0,4,1,90783,290512,9,290521
2,90783,2187,0,0,1,1,90783,359464,6561,366025
2,90783,24057,0,0,1,1,90783,224450,24057,248507
2,90825,7203,0,0,1,1,90825,726616,21609,748225
2,90825,14013,0,0,1,1,90825,183808,126117,309925
2,90825,15625,0,0,1,1,90825,128,109375,109503
2,90825,30375,0,0,1,1,90825,392,91125,91517
2,90825,89787,0,0,1,1,90825,21160,269361,290521
2,90895,27783,0,0,1,1,90895,137842,27783,165625
2,90895,64827,0,0,1,1,90895,84050,64827,148877
2,90913,243,0,0,1,1,90913,104882,243,105125
2,90913,3125,0,0,1,1,90913,215622,3125,218747
2,90963,9,0,0,4,1,90963,462848,27,462875
2,90963,15625,0,0,1,1,90963,128,109375,109503
